dataset,model,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,feature_signal,best_epoch,nearest_best_metric_epoch,final_metric_epoch,best_train_acc,best_val_acc,best_test_acc,best_pairwise_distance,best_edge_distance,best_rank_ratio,best_normalized_dirichlet,final_pairwise_distance,final_edge_distance,final_rank_ratio,final_normalized_dirichlet
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,2,2,0,0.5,0.5004213452339172,0.25,8,8,200,0.7799999713897705,0.5849999785423279,0.48411762714385986,0.978147268295288,0.9597650170326232,0.535798966884613,1.935728695558877,0.9898518919944764,1.0593764781951904,0.0280982218682765,2.178987028989032
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,2,2,0,0.5,0.5004213452339172,0.25,11,8,200,0.8799999952316284,0.5949999690055847,0.48941174149513245,0.9559032917022704,0.9906427264213562,0.5072895884513855,2.130921889549497,0.973163604736328,1.0923676490783691,0.0214173030108213,2.370739825844161
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,2,128,3,3,0,0.5,0.4970986545085907,0.25,141,150,200,1.0,0.5299999713897705,0.49352937936782837,0.9929171204566956,0.9911866784095764,0.448492556810379,1.9840701812539616,0.993471622467041,0.991115927696228,0.4272375106811523,1.982189126445936
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,7,128,3,3,0,0.5,0.4970986545085907,0.25,1,1,200,0.5,0.5,0.4999999701976776,0.0002690553665161,0.0002601853630039,0.3908833563327789,0.0006169485413338,0.2621626257896423,0.2540161311626434,0.0158871654421091,1.5834890884839403
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,8,128,3,3,0,0.5,0.4970986545085907,0.25,1,1,200,0.5,0.5,0.4999999701976776,6.341934204101562e-05,5.954610605840571e-05,0.2958691418170929,0.0001638851314713,0.0,3.0835494158054644e-08,0.0125227971002459,4.3218500148616877e-16
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,3,3,0,0.5,0.4970986545085907,0.25,106,100,200,1.0,0.4899999797344208,0.5005882382392883,1.0001044273376465,0.9940943121910096,0.430357426404953,1.9762403809216136,1.000675082206726,0.9973254799842834,0.3912633061408996,1.9861650392702432
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,3,3,0,0.5,0.4970986545085907,0.25,4,4,200,0.7199999690055847,0.5299999713897705,0.5082352757453918,0.9901838898658752,0.9929018020629884,0.6719768047332764,1.9794261861556053,0.9919835329055786,0.991024613380432,0.0228625852614641,1.9687444232025293
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,3,3,0,0.5,0.4970986545085907,0.25,88,100,200,1.0,0.5299999713897705,0.5211764574050903,0.9892698526382446,1.0402204990386963,0.0257132481783628,2.0902377708308832,0.992028534412384,1.0385693311691284,0.025443110615015,2.142617301152157
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,2,128,4,4,0,0.5,0.4937012493610382,0.25,166,150,200,1.0,0.550000011920929,0.5029411315917969,0.990634024143219,0.9967604875564576,0.4327601492404938,2.002318216096346,0.9901912212371826,0.9971097707748412,0.4136264622211456,2.002727890658496
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,7,128,4,4,0,0.5,0.4937012493610382,0.25,1,1,200,0.5,0.5,0.4999999701976776,0.0002681016921997,0.0002596415579319,0.4024983942508697,0.0006110663087798,1.1920928955078125e-07,5.960464477539064e-08,0.008624879643321,6.418924189675186e-18
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,8,128,4,4,0,0.5,0.4937012493610382,0.25,1,1,200,0.5,0.5,0.4999999701976776,3.212690353393555e-05,2.8983986339881085e-05,0.3062530159950256,9.597518773165723e-05,-2.384185791015625e-07,0.0,0.0078633297234773,4.1248538915311695e-20
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,4,4,0,0.5,0.4937012493610382,0.25,153,150,200,1.0,0.5600000023841858,0.5029411315917969,1.0006047487258911,1.014551043510437,0.4073505103588104,2.037148736207924,1.0005565881729126,1.0140057802200315,0.3864570260047912,2.035095474180862
