target_homophily,feature_signal,graph_seed,baseline_accuracy_l2_pct,baseline_accuracy_l7_pct,baseline_accuracy_l8_pct,baseline_drop_l2_l7_pp,baseline_drop_l2_l8_pp,pairnorm_accuracy_l2_pct,pairnorm_accuracy_l7_pct,pairnorm_accuracy_l8_pct,pairnorm_drop_l2_l7_pp,pairnorm_drop_l2_l8_pp,drop_reduction_l2_l7_pp,drop_reduction_l2_l8_pp
0.1,0.25,1,60.76470613479614,99.647057056427,49.99999701976776,-38.88235092163086,10.764709115028381,66.82352423667908,99.88234639167786,99.70588088035583,-33.05882215499878,-32.88235664367676,-5.82352876663208,43.64706575870514
0.1,0.25,2,63.588231801986694,49.99999701976776,49.99999701976776,13.588234782218933,13.588234782218933,76.17647051811218,99.99999403953552,99.99999403953552,-23.82352352142334,-23.82352352142334,37.41175830364227,37.41175830364227
0.1,0.25,3,60.941171646118164,99.05881881713867,49.99999701976776,-38.11764717102051,10.941174626350403,70.82352638244629,99.94117021560669,99.99999403953552,-29.1176438331604,-29.176467657089233,-9.000003337860107,40.117642283439636
0.1,0.25,4,56.99999928474426,56.3529372215271,50.647056102752686,0.6470620632171631,6.352943181991577,68.23529005050659,99.82352256774902,99.82352256774902,-31.58823251724243,-31.58823251724243,32.235294580459595,37.94117569923401
0.1,0.25,5,54.99999523162842,99.70588088035583,49.99999701976776,-44.70588564872742,4.999998211860657,69.70587968826294,99.88234639167786,99.99999403953552,-30.176466703414917,-30.294114351272583,-14.5294189453125,35.29411256313324
0.1,0.5,1,72.88234829902649,99.94117021560669,49.99999701976776,-27.0588219165802,22.882351279258728,83.5882306098938,99.647057056427,99.647057056427,-16.058826446533203,-16.058826446533203,-10.999995470046997,38.94117772579193
0.1,0.5,2,73.76470565795898,99.35293793678284,49.99999701976776,-25.588232278823853,23.764708638191223,88.82352709770203,99.99999403953552,99.99999403953552,-11.176466941833496,-11.176466941833496,-14.411765336990356,34.94117558002472
0.1,0.5,3,71.05882167816162,99.76470470428467,49.99999701976776,-28.705883026123047,21.05882465839386,83.88234972953796,99.94117021560669,99.88234639167786,-16.058820486068726,-15.999996662139893,-12.647062540054321,37.05882132053375
0.1,0.5,4,66.35293960571289,99.99999403953552,49.99999701976776,-33.64705443382263,16.35294258594513,79.82352375984192,99.94117021560669,99.99999403953552,-20.11764645576477,-20.176470279693604,-13.529407978057861,36.52941286563873
0.1,0.5,5,67.7647054195404,99.4705855846405,49.99999701976776,-31.705880165100098,17.764708399772644,81.99999928474426,99.88234639167786,99.99999403953552,-17.882347106933594,-17.99999475479126,-13.823533058166504,35.764703154563904
