target_homophily,feature_signal,target_depth,n,baseline_depth_drop_mean_pp,pairnorm_depth_drop_mean_pp,depth_drop_reduction_mean_pp,depth_drop_reduction_ci95_pp,positive_reduction_seeds,negative_reduction_seeds,paired_t_pvalue,wilcoxon_pvalue,paired_t_pvalue_holm
0.1,0.25,7,5,-21.494117379188538,-29.552937746047974,8.058820366859436,30.667143374500224,2,3,0.5060605823354514,0.8125,1.0
0.1,0.25,8,5,9.32941198348999,-29.55293893814087,38.88235092163086,3.9339572181697573,5,0,1.0487412418644691e-05,0.0625,0.0001153615366050916
0.1,0.5,7,5,-29.341174364089966,-16.258821487426758,-13.082352876663208,1.647514763177553,0,5,2.505159747427448e-05,0.0625,0.0002505159747427448
0.1,0.5,8,5,20.364707112312317,-16.28235101699829,36.64705812931061,1.8764085776313824,5,0,6.924111061706055e-07,0.0625,8.308933274047266e-06
0.5,0.25,7,5,-0.0705873966217041,0.29411792755126953,-0.36470532417297363,0.9722710691833979,2,3,0.35646679229785805,0.4375,1.0
0.5,0.25,8,5,-0.176469087600708,-1.1647051572799683,0.9882360696792603,0.6097788513881172,5,0,0.010825563238334874,0.0625,0.06495337943000924
0.5,0.5,7,5,0.7529407739639282,-0.48235058784484863,1.2352913618087769,2.1456584213457184,3,2,0.18518789187637888,0.3125,0.9259394593818944
0.5,0.5,8,5,0.7176470756530762,-0.24705886840820312,0.9647059440612793,3.2796897903803384,2,3,0.4599578060134917,0.8125,1.0
0.9,0.25,7,5,-37.83529281616211,-29.788235425949097,-8.047057390213013,2.354534041352356,0,5,0.0006882979001819038,0.0625,0.006194681101637134
0.9,0.25,8,5,-18.929410576820374,-29.74117398262024,10.811763405799866,31.749832964840085,2,3,0.3979582544698691,0.8125,1.0
0.9,0.5,7,5,-28.847057819366455,-16.588234901428223,-12.258822917938232,4.013358479865591,0,5,0.0010597677243519466,0.0625,0.00789950397823533
0.9,0.5,8,5,-29.152939319610596,-16.752939224243164,-12.400000095367432,3.985279395629729,0,5,0.0009874379972794162,0.0625,0.00789950397823533
