target_homophily,feature_signal,num_layers,n,baseline_accuracy_mean_pct,baseline_accuracy_std_pct,pairnorm_accuracy_mean_pct,pairnorm_accuracy_std_pct,accuracy_delta_mean_pp,accuracy_delta_std_pp,accuracy_delta_ci95_pp,positive_seeds,negative_seeds,tie_seeds,paired_t_pvalue,wilcoxon_pvalue,final_pairwise_delta_mean,final_pairwise_delta_ci95,final_edge_delta_mean,final_edge_delta_ci95,final_rank_delta_mean,final_rank_delta_ci95,paired_t_pvalue_holm,wilcoxon_pvalue_holm,significant_t_holm_005
0.1,0.25,2,5,59.45882081985474,3.423509327247419,70.35293817520142,3.5879960710926126,10.89411735534668,3.237274987673751,4.019607804480038,5,0,0,0.0016698735512241708,0.0625,0.014577245712280274,0.0076595931070887364,0.04064385890960691,0.015638510721723443,0.010608416795730612,0.007445121324993975,0.02170835616591422,1.0,True
0.1,0.25,7,5,80.95293819904327,25.456877596048543,99.90587592124939,0.06706947845401402,18.952937722206116,25.46805497063517,31.62276696131217,5,0,0,0.17143514532077567,0.0625,0.6004069328308106,0.4279833071974079,0.9229555114254662,0.7265916569569694,0.00974531192332508,0.0024431025325193515,1.0,1.0,False
0.1,0.25,8,5,50.12940883636474,0.2893736190025936,99.90587711334229,0.1354204118447741,49.77646827697754,0.3587755673042334,0.44547870535679895,5,0,0,6.477035551741296e-10,0.0625,0.9929944396018981,0.004581918641811168,1.6323834653228233,0.06359995477066983,0.0004437459632754395,0.012301868965754362,1.1010960437960204e-08,1.0,True
0.1,0.5,2,5,70.36470413208008,3.2107082402229628,83.623526096344,3.3235561874290784,13.258821964263916,1.654185628533616,2.05394274129626,5,0,0,5.695981229868493e-05,0.0625,0.025682878494262696,0.009820341186268669,0.08545395135879515,0.010403238067504365,0.00964075326919559,0.01012599659857515,0.0009113569967789588,1.0,True
0.1,0.5,7,5,99.70587849617004,0.28515629991391206,99.88234758377075,0.1379515538561868,0.176469087600708,0.372029816439094,0.4619360293307788,3,2,0,0.34864150094635155,0.4375,0.3544413447380066,0.04422612377735826,0.44247071743011473,0.10333685431419501,0.011322844401001942,0.0025665746380721653,1.0,1.0,False
0.1,0.5,8,5,49.99999701976776,0.0,99.90587711334229,0.1533912514714163,49.905880093574524,0.1533912514714163,0.19046039459147815,5,0,0,2.1419102001483184e-11,0.0625,0.9907186150550842,0.008934178055436783,1.6097020554623331,0.08835549892859242,0.00446118786931038,0.015048861956595157,3.855438360266973e-10,1.0,True
0.5,0.25,2,5,49.84705686569214,0.8711050010221476,49.599997997283936,0.8778302564293008,-0.24705886840820312,0.6118801218972755,0.7597495185763791,1,3,1,0.41765586962745976,0.625,0.0092334985733032,0.0028335726720878553,0.009348261356353782,0.007360841869930212,-0.023243427276611318,0.01221023702291765,1.0,1.0,False
0.5,0.25,7,5,49.91764426231384,0.18414636380151417,49.305880069732666,1.0251172478853938,-0.6117641925811768,1.0576791283346587,1.313282095304687,1,4,0,0.2655269226431863,0.3125,0.8507935285568238,0.24310789262734478,0.8441053433601586,0.32128047349803496,-0.01222881302237512,0.06845631876239669,1.0,1.0,False
0.5,0.25,8,5,50.02352595329285,1.2216328191223969,50.764703154563904,1.3087414677504758,0.7411772012710571,0.7996545100170223,0.9929022160894097,5,0,0,0.10692108661737261,0.0625,0.8995376944541931,0.2230538879687482,0.9405426976998598,0.23619248500390402,0.01102021876722574,0.009030961908620025,1.0,1.0,False
0.5,0.5,2,5,50.89411497116089,0.6502580285182243,49.94117498397827,2.164913215897466,-0.9529399871826172,1.8533603133845065,2.3012507768291917,2,3,0,0.3143259262771608,0.4375,0.009648382663726784,0.003726838861881204,0.009656679630279563,0.00833063376000623,-0.01991981267929077,0.016394756614662682,1.0,1.0,False
0.5,0.5,7,5,50.14117419719696,0.5352625108877884,50.42352557182313,1.3435729008096382,0.28235137462615967,1.510859867691917,1.875980304043959,3,2,0,0.6974931054961568,1.0,0.7584246039390564,0.2671383502236937,0.7594502641861609,0.3003718378621524,0.0004185741767287005,0.02200709330199528,1.0,1.0,False
0.5,0.5,8,5,50.17646789550781,0.3946008742036732,50.188233852386475,1.4819570590829338,0.01176595687866211,1.2036571780917968,1.4945377842161236,2,3,0,0.9836081684117659,0.8125,0.9765645623207092,0.030082401614577533,1.0366431914284526,0.13470353349442052,0.0110853813588619,0.0050843901793756925,1.0,1.0,False
0.9,0.25,2,5,61.72940850257873,1.447824322149318,69.97646689414978,2.6768271552705287,8.247058391571045,2.107985731287044,2.6174099912663618,5,0,0,0.0009409571597962178,0.0625,0.014022123813629172,0.0070288746248127155,-0.014925742149352961,0.005813666763551205,0.009716325998306297,0.008892041643524008,0.014114357396943267,1.0,True
0.9,0.25,7,5,99.56470131874084,0.39591275026129225,99.76470232009888,0.18130430122867341,0.20000100135803223,0.26503182087537097,0.3290804703593376,4,1,0,0.16679985020027832,0.25,0.3049767255783081,0.2834445112511403,0.20380785465240478,0.0947538238354774,0.00714455321431162,0.003374115319288144,1.0,1.0,False
0.9,0.25,8,5,80.65881907939911,26.328682061700086,99.71764087677002,0.5663580513681192,19.05882179737091,25.950975404608137,32.22239187817335,5,0,0,0.17589206922200473,0.0625,0.6163869500160217,0.4423790203674,0.2282942161111315,0.13392810590714505,0.00548197645694018,0.005089146353781682,1.0,1.0,False
0.9,0.5,2,5,70.57646751403809,3.033947387323254,83.19999694824219,1.8954513567981532,12.623529434204102,3.227422136220661,4.007373873551087,5,0,0,0.000941841261198187,0.0625,0.022471940517425536,0.007155494322011613,-0.0409680962562561,0.007952633756986578,0.015702033042907702,0.015853828685378914,0.014114357396943267,1.0,True
0.9,0.5,7,5,99.42352533340454,0.38885841744090366,99.78823184967041,0.1416633104335221,0.36470651626586914,0.32326250963395564,0.40138342018148093,4,1,0,0.06516601503245642,0.125,0.2354875087738037,0.11805515694784773,0.1458425730466843,0.06212190539586722,0.00846231486648324,0.0036772871259661386,0.781992180389477,1.0,False
0.9,0.5,8,5,99.72940683364868,0.3101497082860724,99.95293617248535,0.10522458960032964,0.22352933883666992,0.2367597692785576,0.2939760817362151,3,0,2,0.10236185507681472,0.25,0.39057987928390503,0.07935382241077948,0.19575864523649217,0.08894140355716522,0.0052616612985730195,0.0025492895610579216,1.0,1.0,False
