seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss,relative_depth_loss_reduction
,,,,,,,,,,,
1,0,0.3756003842459174,0.3016330451488953,0.3419788664745437,0.3314121037463977,-0.07396733909702213,-0.010566762728145995,0.06340057636887614,0.07396733909702213,0.010566762728145995,0.8571428571428574
1,1,0.3640730067243035,0.3179634966378482,0.3621517771373679,0.3429394812680115,-0.04610951008645531,-0.01921229586935641,0.026897214217098897,0.04610951008645531,0.01921229586935641,0.5833333333333326
1,2,0.3323727185398655,0.345821325648415,0.3256484149855908,0.3381364073006724,0.013448607108549504,0.01248799231508163,-0.0009606147934678733,-0.013448607108549504,-0.01248799231508163,0.07142857142857525
1,3,0.3659942363112392,0.3583093179634966,0.3621517771373679,0.3621517771373679,-0.0076849183477425975,0.0,0.0076849183477425975,0.0076849183477425975,-0.0,1.0
1,4,0.3611911623439001,0.3381364073006724,0.3592699327569644,0.3237271853986551,-0.02305475504322768,-0.03554274735830931,-0.01248799231508163,0.02305475504322768,0.03554274735830931,-0.5416666666666654
1,5,0.345821325648415,0.366954851104707,0.3362151777137367,0.3419788664745437,0.02113352545629199,0.005763688760806962,-0.015369836695485029,-0.02113352545629199,-0.005763688760806962,0.7272727272727246
1,6,0.3583093179634966,0.3218059558117195,0.329490874159462,0.3170028818443804,-0.036503362151777075,-0.012487992315081575,0.0240153698366955,0.036503362151777075,0.012487992315081575,0.6578947368421068
1,7,0.3602305475504322,0.3016330451488953,0.3410182516810759,0.3179634966378482,-0.05859750240153694,-0.023054755043227737,0.0355427473583092,0.05859750240153694,0.023054755043227737,0.6065573770491788
1,8,0.3352545629202689,0.3073967339097022,0.3410182516810759,0.3342939481268011,-0.027857829010566715,-0.006724303554274835,0.02113352545629188,0.027857829010566715,0.006724303554274835,0.7586206896551684
1,9,0.3429394812680115,0.3266090297790586,0.3333333333333333,0.3333333333333333,-0.016330451488952902,0.0,0.016330451488952902,0.016330451488952902,-0.0,1.0
