comparison,interpretation,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue,baseline_mean_depth_loss,pairnorm_mean_depth_loss,absolute_depth_loss_reduction,relative_depth_loss_reduction
GraphSAGE L8 minus L4,Negative values indicate depth degradation.,10,-0.025552353506243984,-2.5552353506243985,0.02999074325152438,-0.025456292026897198,-0.07396733909702213,0.02113352545629199,2,8,0,-0.04700643880694515,-0.0040982682055428175,0.024623054716320092,0.02734375,0.025390625,-0.8520080110033684,0.07386916414896028,0.08203125,0.076171875,0.025552353506243984,0.008933717579250728,0.01661863592699326,0.6503759398496237
PairNorm L8 minus L4,Negative values indicate depth degradation.,10,-0.008933717579250728,-0.8933717579250728,0.014406019496843395,-0.008645533141210415,-0.03554274735830931,0.01248799231508163,2,6,2,-0.01923916311412032,0.001371727955618865,0.08150699307057162,0.109375,0.0859375,-0.6201378237207202,0.10495173990742873,0.109375,0.1015625,0.025552353506243984,0.008933717579250728,0.01661863592699326,0.6503759398496237
PairNorm depth interaction,Positive values indicate that PairNorm reduces the L4-to-L8 depth penalty.,10,0.01661863592699326,1.661863592699326,0.023539091884970244,0.01873198847262239,-0.015369836695485029,0.06340057636887614,7,3,0,-0.00022021601361429596,0.03345748786760082,0.052475869953714366,0.048828125,0.05078125,0.7060015742410305,0.10495173990742873,0.09765625,0.1015625,0.025552353506243984,0.008933717579250728,0.01661863592699326,0.6503759398496237
