seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss
,,,,,,,,,,
1,0,0.3756003842459174,0.3246878001921229,0.3419788664745437,0.3314121037463977,-0.05091258405379451,-0.010566762728145995,0.04034582132564851,0.05091258405379451,0.010566762728145995
1,1,0.3640730067243035,0.3179634966378482,0.3621517771373679,0.3429394812680115,-0.04610951008645531,-0.01921229586935641,0.026897214217098897,0.04610951008645531,0.01921229586935641
1,2,0.3323727185398655,0.3093179634966378,0.3256484149855908,0.3381364073006724,-0.02305475504322768,0.01248799231508163,0.03554274735830931,0.02305475504322768,-0.01248799231508163
1,3,0.3659942363112392,0.3439000960614793,0.3621517771373679,0.3621517771373679,-0.022094140249759864,0.0,0.022094140249759864,0.022094140249759864,-0.0
1,4,0.3611911623439001,0.3102785782901057,0.3592699327569644,0.3237271853986551,-0.050912584053794396,-0.03554274735830931,0.015369836695485084,0.050912584053794396,0.03554274735830931
1,5,0.345821325648415,0.318924111431316,0.3362151777137367,0.3419788664745437,-0.026897214217099008,0.005763688760806962,0.03266090297790597,0.026897214217099008,-0.005763688760806962
1,6,0.3583093179634966,0.3016330451488953,0.329490874159462,0.3170028818443804,-0.0566762728146013,-0.012487992315081575,0.04418828049951973,0.0566762728146013,0.012487992315081575
1,7,0.3602305475504322,0.3045148895292987,0.3410182516810759,0.3179634966378482,-0.055715658021133485,-0.023054755043227737,0.03266090297790575,0.055715658021133485,0.023054755043227737
1,8,0.3352545629202689,0.3073967339097022,0.3410182516810759,0.3342939481268011,-0.027857829010566715,-0.006724303554274835,0.02113352545629188,0.027857829010566715,0.006724303554274835
1,9,0.3429394812680115,0.2939481268011527,0.3333333333333333,0.3333333333333333,-0.048991354466858816,0.0,0.048991354466858816,0.048991354466858816,-0.0
