comparison,learning_rate,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue,baseline_mean_depth_loss,pairnorm_mean_depth_loss,absolute_depth_loss_reduction,relative_depth_loss_reduction
GraphSAGE L8 minus L4,0.03,10,-0.04092219020172911,-4.092219020172911,0.014141317069336419,-0.04755043227665706,-0.0566762728146013,-0.022094140249759864,0,10,0,-0.05103827902704971,-0.03080610137640851,7.44995582446475e-06,0.001953125,0.001953125,-2.893803314152646,1.7702830188635184e-05,0.005859375,0.005859375,0.04092219020172911,0.008933717579250728,0.03198847262247838,0.7816901408450702
PairNorm L8 minus L4,0.03,10,-0.008933717579250728,-0.8933717579250728,0.014406019496843395,-0.008645533141210415,-0.03554274735830931,0.01248799231508163,2,6,2,-0.01923916311412032,0.001371727955618865,0.08150699307057162,0.109375,0.0859375,-0.6201378237207202,0.08150699307057162,0.109375,0.0859375,0.04092219020172911,0.008933717579250728,0.03198847262247838,0.7816901408450702
PairNorm depth interaction,0.03,10,0.03198847262247838,3.198847262247838,0.010745249275674516,0.03266090297790586,0.015369836695485084,0.048991354466858816,10,0,0,0.024301784346558403,0.03967516089839835,5.900943396211729e-06,0.001953125,0.001953125,2.9769874855202327,1.7702830188635184e-05,0.005859375,0.005859375,0.04092219020172911,0.008933717579250728,0.03198847262247838,0.7816901408450702
