num_layers,learning_rate,baseline_mean_test,pairnorm_mean_test,n_pairs,mean_gain,mean_gain_percentage_points,std_gain,median_gain,minimum_gain,maximum_gain,positive_splits,negative_splits,zero_splits,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,mean_gain_ci95_low,mean_gain_ci95_high,cohen_dz,exact_sign_flip_holm_pvalue
4,0.0003,0.35629202689721423,0.3419788664745437,10,-0.014313160422670506,-1.4313160422670506,0.015439390599462016,-0.011527377521613813,-0.0451488952929876,0.009606147934678289,1,9,0,0.01671333767371965,0.01953125,0.013671875,-0.025357835112247117,-0.003268485733093898,-0.9270547519647082,0.109375
4,0.001,0.35331412103746396,0.34678194044188276,10,-0.0065321805955811775,-0.6532180595581177,0.018393258023295916,-0.006724303554274752,-0.04226705091258409,0.026897214217098897,2,8,0,0.2904797640733332,0.232421875,0.306640625,-0.019689924746171355,0.006625563555009001,-0.3551399424347697,0.919921875
4,0.003,0.3463016330451489,0.33525456292026895,10,-0.011047070124879921,-1.104707012487992,0.023761061454358003,-0.0038424591738712155,-0.060518731988472574,0.018251681075888593,4,6,0,0.1755764715554728,0.30859375,0.205078125,-0.02804470952986827,0.005950569280108425,-0.46492325884093805,0.8203125
4,0.005,0.35062439961575403,0.33285302593659943,10,-0.017771373679154656,-1.7771373679154656,0.022176358828779927,-0.018251681075888565,-0.05091258405379445,0.02593659942363108,2,8,0,0.03201709805041265,0.037109375,0.03515625,-0.033635385116997873,-0.0019073622413114388,-0.8013657163632927,0.17578125
4,0.01,0.34562920268972136,0.32997118155619587,10,-0.015658021133525452,-1.5658021133525453,0.0181477398287525,-0.01777137367915463,-0.05283381364073009,0.011527377521613924,2,8,0,0.023283931994096778,0.01953125,0.01953125,-0.02864013214810321,-0.0026759101189476973,-0.8628083321272634,0.1171875
4,0.03,0.354178674351585,0.3432276657060519,10,-0.010951008645533134,-1.0951008645533133,0.012542881252482983,-0.008165225744476451,-0.03362151777137373,0.0057636887608070175,1,9,0,0.02207822657040239,0.013671875,0.015625,-0.019923645370488515,-0.0019783719205777525,-0.8730855714164779,0.109375
8,0.0003,0.30096061479346786,0.3268011527377521,10,0.025840537944284335,2.5840537944284336,0.01569624845374869,0.029779058597502406,0.0,0.047070124879923125,8,0,2,0.0005595401618066091,0.0078125,0.0078125,0.014612118214786404,0.037068957673782266,1.6462875202585694,0.078125
8,0.001,0.302209414024976,0.3275696445725264,10,0.025360230547550416,2.5360230547550415,0.01480718452872059,0.026416906820365016,0.0009606147934678178,0.050912584053794396,10,0,0,0.0004240326947598319,0.001953125,0.001953125,0.014767808836686437,0.035952652258414396,1.7126976771553517,0.0234375
8,0.003,0.32593659942363107,0.3226705091258405,10,-0.0032660902977905693,-0.3266090297790569,0.022171503678982626,0.002401536983669572,-0.050912584053794396,0.020172910662824173,6,4,0,0.6524006537560216,1.0,0.697265625,-0.019126628570696677,0.012594447975115539,-0.14731027471477473,1.0
8,0.005,0.30307396733909703,0.31805955811719505,10,0.014985590778098001,1.4985590778098001,0.013774023691784765,0.01200768491834775,-0.005763688760806851,0.03842459173871288,9,1,0,0.007385465777882117,0.009765625,0.0078125,0.00513224780693276,0.024838933749263242,1.0879602876707588,0.078125
8,0.01,0.328626320845341,0.3244956772334294,10,-0.004130643611911617,-0.4130643611911617,0.03416167952595349,-0.013448607108549449,-0.06532180595581172,0.053794428434197905,4,6,0,0.7110632816899811,0.625,0.7109375,-0.028568436980962925,0.020307149757139695,-0.12091453550383735,1.0
8,0.03,0.31325648414985585,0.33429394812680113,10,0.021037463976945246,2.1037463976945245,0.009492874689284612,0.020653218059558137,0.00672430355427478,0.03938520653218064,10,0,0,6.268980208061637e-05,0.001953125,0.001953125,0.014246670510283582,0.02782825744360691,2.2161320638406785,0.0234375
