model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,4,4,2,3,0.6343315972222222,0.03854722783944453,0.03802412465787105,0.49877104738594014,GraphSAGERewired,3,1.0,0.0637119139864808,0.0005714674447100757,0.9901321813022655,36.56684027777778,0.4913611339163254
GraphSAGE,4,4,3,3,0.6355251736111112,0.015520074742350213,0.015336279579211501,0.49250150533044507,GraphSAGERewired,3,1.0,0.032123102759821144,0.0003875672567896042,0.9787653063201761,36.447482638888886,0.48626380098973104
GraphSAGE,4,4,4,3,0.6932508680555555,1.9544486806601828,0.878786645188787,0.5729407551420184,GraphSAGERewired,3,1.0,0.057351925628609024,0.0004974778496678786,0.9901725496502453,30.674913194444454,0.4172317945082269
GraphSAGE,4,4,5,3,0.8077256944444445,4.993068214486509,1.9074323695385829,0.7163611091106455,GraphSAGERewired,3,1.0,0.03631716721914321,0.000389076175840349,0.9875011446644324,19.227430555555546,0.27114003555378685
GraphSAGE,4,8,1,3,0.8588324652777777,2.6215511053354326,1.0447844250205283,0.7153703596903623,GraphSAGERewired,3,1.0,0.028790316508699714,0.0007341109644206275,0.9576697243783542,14.116753472222232,0.24229936468799185
GraphSAGE,4,8,2,3,0.6966145833333334,0.18724872205833284,0.19024808610750674,0.4988066653120235,GraphSAGERewired,3,1.0,0.06353482208942296,0.001582560115139131,0.9748247410909752,30.338541666666664,0.47601807577895167
GraphSAGE,4,8,3,3,0.9163411458333334,4.090515601613636,1.8905408844536093,0.7147366187333516,GraphSAGERewired,3,1.0,0.012549892150976424,0.0005778864672644582,0.9495435302249309,8.365885416666663,0.23480691149157928
GraphSAGE,4,8,4,3,0.8021918402777778,1.8748839568382512,1.0214455251443724,0.5538491137677816,GraphSAGERewired,3,1.0,0.04914358531126103,0.0011882066216770681,0.9641614997648104,19.78081597222222,0.4103123859970288
GraphSAGE,4,8,5,3,0.84375,2.980823004768657,1.5434598186596606,0.6096165542812632,GraphSAGERewired,3,1.0,0.0373731836383134,0.0011384265566978986,0.9650257648348379,15.625,0.3554092105535748
GraphSAGE,6,1,1,3,0.5680338541666666,0.015351568086771294,0.01544570710878664,0.49848866952318965,GraphSAGERewired,3,1.0,0.010438481252549536,9.216350359331216e-06,0.9979145016061125,43.196614583333336,0.49942583208292285
GraphSAGE,6,1,2,3,0.5684678819444444,0.009342089944008572,0.009253031736686049,0.5006531012981051,GraphSAGERewired,3,1.0,0.014612055119869183,1.0344505929478961e-05,0.9992581374319783,43.15321180555556,0.4986050361338732
GraphSAGE,6,1,3,3,0.5808376736111112,0.025103993816628645,0.019286210342897903,0.535296294434166,GraphSAGERewired,3,1.0,0.017438176585831872,1.0697180736762846e-05,0.9993030780718811,41.916232638888886,0.4640067836377151
GraphSAGE,6,1,4,3,0.5896267361111112,0.0365303557413578,0.01954978523644968,0.5683993456654687,GraphSAGERewired,3,1.0,0.013484701244730482,8.584665529554059e-06,0.9992684706454534,41.037326388888886,0.43086912497998475
GraphSAGE,6,1,5,3,0.5703125,0.032048225829688214,0.026916666890125878,0.5207374786857805,GraphSAGERewired,3,1.0,0.017028194581750238,1.1508334506175425e-05,0.9991827959918766,42.96875,0.4784453173060962
GraphSAGE,6,2,1,3,0.592990451388889,0.031029940165656928,0.030613384801351156,0.5033736032714616,GraphSAGERewired,3,1.0,0.010675037422421004,1.9110538056033022e-05,0.9957890339145518,40.70095486111111,0.4924154306430901
GraphSAGE,6,2,2,3,0.5974392361111112,0.02217842900264107,0.02220372647101006,0.5034100878265514,GraphSAGERewired,3,1.0,0.014546421717113844,1.9450560152141822e-05,0.9986020435273236,40.256076388888886,0.49519195570077224
GraphSAGE,6,2,3,3,0.6055772569444445,0.030996773450169712,0.030821915677127738,0.5012983682553998,GraphSAGERewired,3,1.0,0.01720454492715362,1.9645958705183375e-05,0.9986352304155535,39.44227430555555,0.4973368621601537
GraphSAGE,6,2,4,3,0.5988498263888888,0.03226897642404462,0.031931589415762573,0.5026772677319614,GraphSAGERewired,3,1.0,0.013628471938848937,1.7692517539617352e-05,0.998526596230127,40.115017361111114,0.49584932849816554
GraphSAGE,6,2,5,3,0.6053602430555556,0.029948186468876276,0.030262695053049054,0.49739935408977964,GraphSAGERewired,3,1.0,0.017007809409733454,2.2395381182131285e-05,0.9983496259034771,39.46397569444444,0.5009502718136974
GraphSAGE,6,4,1,3,0.7137586805555557,1.4378596694829564,0.6796935806438947,0.5659437843037928,GraphSAGERewired,3,1.0,0.03230623787036772,0.00010245395349942991,0.9899669736154624,28.624131944444432,0.4240231893116696
GraphSAGE,6,4,2,3,0.6362847222222222,0.0626126539367154,0.06307132835596956,0.4981536872513894,GraphSAGERewired,3,1.0,0.014641057020677787,4.900656197589134e-05,0.9964749875997879,36.37152777777778,0.4983213003483985
