model,distance,width,graph_seed,n_init,test_acc,matched_influence,distractor_influence,specificity
GraphSAGE,2,1,1,3,0.7804904513888888,1.2647335588311155,0.2693503960666324,0.8240507288219794
GraphSAGE,2,1,2,3,0.7488064236111112,0.9684253764959673,0.22461302243270134,0.8110105565590283
GraphSAGE,2,1,3,3,0.7610677083333334,1.0451380553810548,0.2553058107356871,0.8016931807318076
GraphSAGE,2,1,4,3,0.7646484375,1.2246584665651123,0.25513873332965886,0.8271810350024423
GraphSAGE,2,1,5,3,0.7745225694444443,1.2075396784736465,0.26449607221002225,0.8202796406811371
GraphSAGE,2,2,1,3,0.9326171875,3.433509680132071,0.5359970139009723,0.8641477689084409
GraphSAGE,2,2,2,3,0.9053819444444443,2.956519435159862,0.5246207092422992,0.8480607425130947
GraphSAGE,2,2,3,3,0.9254557291666666,3.363826605180899,0.618729118083138,0.8439726729785842
GraphSAGE,2,2,4,3,0.9275173611111112,3.3960064314305782,0.5248183312360197,0.8628823953540907
GraphSAGE,2,2,5,3,0.9448784722222223,4.106047592436274,0.6032011489442084,0.8731090915603489
GraphSAGE,2,4,1,3,0.9964192708333334,4.893844187259674,0.913668568226664,0.8440975633639581
GraphSAGE,2,4,2,3,0.9942491319444445,4.549303725982706,0.9024045313320433,0.8351332766257397
GraphSAGE,2,4,3,3,0.9968532986111112,4.882995202516516,0.9567105721798725,0.8358549849680269
GraphSAGE,2,4,4,3,0.995876736111111,5.19088692838947,1.0550103706191294,0.8339563536372984
GraphSAGE,2,4,5,3,0.8778211805555557,4.041114618613695,0.677473908746227,0.741244867541512
GraphSAGE,2,8,1,3,0.8987630208333334,3.194496868385007,1.0529605917836307,0.6695091390849882
GraphSAGE,2,8,2,3,0.7970920138888888,1.1701697003857892,0.4547879308483971,0.5805416342511351
GraphSAGE,2,8,3,3,0.8980034722222223,3.301190221175299,1.075899379086574,0.6896385300459423
GraphSAGE,2,8,4,3,1.0,5.262630115728825,2.0279347896575928,0.7204712958918407
GraphSAGE,2,8,5,3,0.8971354166666666,3.693746968987398,1.412978612196942,0.6517047130067963
GraphSAGE,4,1,1,3,0.615234375,0.14385750583460322,0.07392957949317254,0.6493472488382568
GraphSAGE,4,1,2,3,0.576388888888889,0.05021911392941547,0.03168677067030027,0.5845728538268495
GraphSAGE,4,1,3,3,0.603298611111111,0.06992338643188607,0.053072069344428506,0.5642650661577248
GraphSAGE,4,1,4,3,0.6078559027777778,0.16552504012239902,0.05604965086119288,0.7097582024327135
GraphSAGE,4,1,5,3,0.6047092013888888,0.11438383383695812,0.06127419814356472,0.64108338818562
GraphSAGE,4,2,1,3,0.5942925347222222,0.028639868927712087,0.028482276536427282,0.49754196129683415
GraphSAGE,4,2,2,3,0.6223958333333334,0.09240329343204697,0.06679278871160932,0.5651660747181989
GraphSAGE,4,2,3,3,0.7007378472222222,1.5061496595735662,0.44911092626474175,0.6831365558618202
GraphSAGE,4,2,4,3,0.6809895833333334,0.44917342154561385,0.1591457806522764,0.7144400537471342
GraphSAGE,4,2,5,3,0.6702473958333334,0.40550236392300576,0.14314078266518968,0.6454341326184664
GraphSAGE,4,4,1,3,0.7020399305555555,0.7709716894896701,0.3684834014275111,0.56516102203206
GraphSAGE,4,4,2,3,0.6343315972222222,0.03854722783944453,0.03802412465787105,0.49877104738594014
GraphSAGE,4,4,3,3,0.6355251736111112,0.015520074742350213,0.015336279579211501,0.49250150533044507
GraphSAGE,4,4,4,3,0.6932508680555555,1.9544486806601828,0.878786645188787,0.5729407551420184
GraphSAGE,4,4,5,3,0.8077256944444445,4.993068214486509,1.9074323695385829,0.7163611091106455
GraphSAGE,4,8,1,3,0.8588324652777777,2.6215511053354326,1.0447844250205283,0.7153703596903623
GraphSAGE,4,8,2,3,0.6966145833333334,0.18724872205833284,0.19024808610750674,0.4988066653120235
GraphSAGE,4,8,3,3,0.9163411458333334,4.090515601613636,1.8905408844536093,0.7147366187333516
GraphSAGE,4,8,4,3,0.8021918402777778,1.8748839568382512,1.0214455251443724,0.5538491137677816
GraphSAGE,4,8,5,3,0.84375,2.980823004768657,1.5434598186596606,0.6096165542812632
GraphSAGE,6,1,1,3,0.5680338541666666,0.015351568086771294,0.01544570710878664,0.49848866952318965
GraphSAGE,6,1,2,3,0.5684678819444444,0.009342089944008572,0.009253031736686049,0.5006531012981051
