model,num_layers,learning_rate,n,mean_best_val_acc_400,mean_test_at_best_val_400,mean_best_epoch_400,mean_best_val_acc_800,std_best_val_acc_800,mean_test_at_best_val_800,std_test_at_best_val_800,mean_best_epoch_800,optimum_after_400_count,optimum_at_800_cap_count,optimum_last_10_percent_count,mean_validation_gain_800_minus_400,mean_test_gain_800_minus_400,mean_final_test_acc
GraphSAGE,4,0.005,10,0.4914747672709455,0.48430507920953775,382.5,0.5040829658664053,0.005748594259447544,0.4987587783766128,0.005695349561846256,720.5,10,0,6,0.012608198595459752,0.01445369916707498,0.4976155479340193
GraphSAGEPairNorm,4,0.01,10,0.5192389351625021,0.510828025477707,355.0,0.5244487996080353,0.006083506485361722,0.5162502041482934,0.006216128364914018,623.5,9,0,3,0.005209864445533207,0.005422178670586297,0.5162502041482934
GraphSAGE,8,0.003,10,0.4673689367956884,0.4651641352278295,384.5,0.4802057814796668,0.003937036872311534,0.4751755675322554,0.005007402487561371,719.9,10,0,5,0.012836844683978443,0.010011432304425933,0.46656867548587294
GraphSAGEPairNorm,8,0.005,10,0.5074146660133921,0.5010125755348686,383.0,0.5173934345908868,0.0038847107136831213,0.5098154499428385,0.008011015338051906,700.4,10,0,6,0.00997876857749469,0.008802874407969952,0.5107463661603788
