model,num_layers,learning_rate,epoch,mean_train_acc,mean_val_acc,mean_test_acc,mean_loss
GraphSAGE,4,0.005,576,0.7988077739670096,0.4937612281561326,0.49219336926343293,0.7873978793621064
GraphSAGE,4,0.005,601,0.8106320431161196,0.4921770373999673,0.4941858566062387,0.7684029519557953
GraphSAGE,4,0.005,626,0.8210109423485219,0.4927813163481953,0.49305895802711086,0.7523126780986786
GraphSAGE,4,0.005,651,0.8328597092928304,0.49286297566552345,0.49451249387555113,0.7410334944725037
GraphSAGE,4,0.005,676,0.8323044259349992,0.49454515760248247,0.49684795035113505,0.7370697319507599
GraphSAGE,4,0.005,701,0.8427486526212642,0.49536175077576344,0.496766291033807,0.7175185799598693
GraphSAGE,4,0.005,726,0.8328760411562959,0.49547607382002284,0.4949861179160542,0.724804812669754
GraphSAGE,4,0.005,751,0.831618487669443,0.4916707496325331,0.4940225379715826,0.7419577598571777
GraphSAGE,4,0.005,776,0.8328107137024334,0.4972399150743099,0.49692960966846317,0.7145414710044861
GraphSAGE,4,0.005,800,0.8506287767434264,0.49853013228809406,0.4976155479340193,0.6987965047359467
GraphSAGE,8,0.003,1,0.3678752245631226,0.36780989710926015,0.36794055201698517,1.6095295548439026
GraphSAGE,8,0.003,26,0.3678752245631226,0.36780989710926015,0.36794055201698517,1.4153639078140259
GraphSAGE,8,0.003,51,0.3678752245631226,0.36780989710926015,0.36794055201698517,1.4116943717002868
GraphSAGE,8,0.003,76,0.3704719908541564,0.37079862812346887,0.3704393271272252,1.3893674731254577
GraphSAGE,8,0.003,101,0.4111873264739507,0.40419728891066475,0.4047689041319614,1.3411579370498656
GraphSAGE,8,0.003,126,0.43490935815776577,0.42039849746856117,0.42119875877837665,1.3085117101669312
GraphSAGE,8,0.003,151,0.4525722684958353,0.4233872284827699,0.4243508084272415,1.2847110867500304
GraphSAGE,8,0.003,176,0.4727176220806794,0.43475420545484234,0.4359464314878328,1.261902117729187
GraphSAGE,8,0.003,201,0.4767760901518863,0.43619140943981705,0.4366976972072513,1.2391302943229676
GraphSAGE,8,0.003,226,0.49375306222439985,0.446202841744243,0.44602319124612116,1.224784529209137
GraphSAGE,8,0.003,251,0.5024906091785073,0.45012248897599216,0.4509880777396701,1.2101651191711427
GraphSAGE,8,0.003,276,0.5064592520006532,0.45051445369916704,0.4542217867058631,1.2080299139022828
GraphSAGE,8,0.003,301,0.5069492079046218,0.4510697370569982,0.4517393434590886,1.1926475167274475
GraphSAGE,8,0.003,326,0.5171892862975666,0.45489139310795357,0.4561162828678752,1.1892503380775452
GraphSAGE,8,0.003,351,0.5311121999020088,0.4594153192879308,0.46075453209211165,1.1767454624176026
GraphSAGE,8,0.003,376,0.527870325004083,0.45319287930752894,0.45592030050628773,1.166791069507599
GraphSAGE,8,0.003,400,0.5327290543851053,0.4580597746202842,0.45647558386411885,1.1566890120506286
GraphSAGE,8,0.003,401,0.5390984811366977,0.4599379389188306,0.46010125755348685,1.1692945122718812
GraphSAGE,8,0.003,426,0.5422423648538298,0.459056018291687,0.4604442266862649,1.1672516584396362
GraphSAGE,8,0.003,451,0.5461865098807774,0.46117916054221786,0.46175077576351453,1.1466402411460876
GraphSAGE,8,0.003,476,0.5550710436060754,0.46000326637269306,0.4630899885676955,1.1409706950187684
GraphSAGE,8,0.003,501,0.5620692471010942,0.46325330720235175,0.46356361260819856,1.1387473821640015
GraphSAGE,8,0.003,526,0.5647885023681203,0.4635799444716642,0.46343295770047355,1.1210744023323058
GraphSAGE,8,0.003,551,0.5770373999673363,0.4645925200065327,0.4652457945451576,1.1143266797065734
GraphSAGE,8,0.003,576,0.5785235995427078,0.46635636126081986,0.4662257063530949,1.1044875741004945
GraphSAGE,8,0.003,601,0.5856442920137188,0.4644128695084109,0.46576841417605747,1.0947526693344116
GraphSAGE,8,0.003,626,0.5900130654907725,0.4650498121835701,0.46645435244161354,1.1062565922737122
GraphSAGE,8,0.003,651,0.5987016168544831,0.4697043932712723,0.47063530948881266,1.0812160611152648
GraphSAGE,8,0.003,676,0.6107055365017149,0.4676302466111383,0.4708149599869345,1.067798411846161
GraphSAGE,8,0.003,701,0.6191817736403724,0.4691327780499755,0.4720561816103217,1.0690189003944397
GraphSAGE,8,0.003,726,0.616780989710926,0.47241548260656535,0.47385268659154,1.0579352617263793
GraphSAGE,8,0.003,751,0.6293483586477218,0.47117426098317816,0.47323207577984644,1.045993709564209
GraphSAGE,8,0.003,776,0.6298791442103544,0.472562469377756,0.4728891066470684,1.042617291212082
GraphSAGE,8,0.003,800,0.620749632533072,0.46890413196145675,0.46656867548587294,1.0541185975074767
GraphSAGEPairNorm,4,0.01,1,0.3532173771027274,0.34685611628286783,0.34290380532418746,1.623212957382202
GraphSAGEPairNorm,4,0.01,26,0.5046137514290381,0.4439490445859873,0.4434100930916217,1.1764334201812745
GraphSAGEPairNorm,4,0.01,51,0.5713049158909032,0.4605585497305242,0.46095051445369917,1.0749276638031007
GraphSAGEPairNorm,4,0.01,76,0.6339702760084925,0.4715498938428874,0.4693124285480973,0.9965249538421631
GraphSAGEPairNorm,4,0.01,101,0.6907724971419239,0.48329250367466925,0.47989547607382,0.9380534887313843
GraphSAGEPairNorm,4,0.01,126,0.7339294463498285,0.489171974522293,0.4866895312755185,0.8790589153766633
GraphSAGEPairNorm,4,0.01,151,0.7618895966029724,0.49472480810060426,0.4931406173444389,0.8486064612865448
GraphSAGEPairNorm,4,0.01,176,0.7823534215253961,0.49993467254613755,0.497713539114813,0.8153756201267243
GraphSAGEPairNorm,4,0.01,201,0.8038869835048178,0.5056181610321737,0.5021068103870652,0.7883792161941529
GraphSAGEPairNorm,4,0.01,226,0.8155560999510044,0.5037726604605586,0.5015351951657684,0.7695405900478363
GraphSAGEPairNorm,4,0.01,251,0.8244732974032336,0.5067613914747673,0.5040503021394741,0.753352427482605
GraphSAGEPairNorm,4,0.01,276,0.8325494038869834,0.5073820022864608,0.5052425281724645,0.7427985548973084
GraphSAGEPairNorm,4,0.01,301,0.8379797484893027,0.5081332680058794,0.5063530948881267,0.7249112367630005
GraphSAGEPairNorm,4,0.01,326,0.8466111383308835,0.5117099461048505,0.5095541401273885,0.7149357914924621
GraphSAGEPairNorm,4,0.01,351,0.8503021394741139,0.5113343132451413,0.5102400783929446,0.7099161446094513
GraphSAGEPairNorm,4,0.01,376,0.8537481626653601,0.5102564102564102,0.5101420872121509,0.699933660030365
GraphSAGEPairNorm,4,0.01,400,0.8537236648701617,0.5128205128205128,0.5110403397027601,0.6894333481788635
GraphSAGEPairNorm,4,0.01,401,0.8588926996570307,0.5103870651641352,0.5097664543524416,0.6981427192687988
GraphSAGEPairNorm,4,0.01,426,0.8605340519353257,0.5122488975992161,0.5128205128205128,0.6843739688396454
GraphSAGEPairNorm,4,0.01,451,0.8624530458925364,0.5110076759758289,0.5111709946104851,0.6836449205875397
GraphSAGEPairNorm,4,0.01,476,0.8662910338069574,0.5106320431161195,0.5103707333006696,0.6800574123859405
GraphSAGEPairNorm,4,0.01,501,0.8701290217213783,0.513032827045566,0.513114486362894,0.6666930496692658
GraphSAGEPairNorm,4,0.01,526,0.8705128205128204,0.5112363220643475,0.5098971092601665,0.670271360874176
GraphSAGEPairNorm,4,0.01,551,0.8746611138330884,0.5144700310305406,0.5140290707169688,0.6574265658855438
GraphSAGEPairNorm,4,0.01,576,0.8752408949861179,0.5181773640372367,0.515188633023028,0.6584086418151855
GraphSAGEPairNorm,4,0.01,601,0.8829413686101585,0.5144210354401437,0.5147803364363874,0.6491052329540252
GraphSAGEPairNorm,4,0.01,626,0.8813980075126573,0.5155642658827373,0.5157275845173934,0.655462646484375
GraphSAGEPairNorm,4,0.01,651,0.8795116772823779,0.5143393761228156,0.5138820839457783,0.6523392260074615
GraphSAGEPairNorm,4,0.01,676,0.8808998856769558,0.5130001633186346,0.512983831455169,0.6562250196933747
GraphSAGEPairNorm,4,0.01,701,0.8832435080842724,0.5146496815286624,0.5150089825249061,0.6411644101142884
GraphSAGEPairNorm,4,0.01,726,0.8867875224563123,0.5153519516576841,0.5150089825249061,0.6483745574951172
GraphSAGEPairNorm,4,0.01,751,0.8856524579454517,0.5155805977462029,0.516397190919484,0.6436436712741852
GraphSAGEPairNorm,4,0.01,776,0.8888780009799119,0.5151233055691654,0.515270292340356,0.6407092571258545
GraphSAGEPairNorm,4,0.01,800,0.8897027600849257,0.5164788502368121,0.5162502041482934,0.6356603026390075
GraphSAGEPairNorm,8,0.005,1,0.30128205128205127,0.29916707496325323,0.2953290870488322,1.608635175228119
GraphSAGEPairNorm,8,0.005,26,0.4453209211170995,0.4243671402907071,0.4249877511024008,1.2727588772773744
GraphSAGEPairNorm,8,0.005,51,0.4934509227502858,0.44223419892209703,0.4419892209701127,1.1937506914138794
GraphSAGEPairNorm,8,0.005,76,0.5304589253633839,0.45440143720398496,0.4588110403397027,1.1329336881637573
GraphSAGEPairNorm,8,0.005,101,0.5631798138167565,0.4612118242691491,0.4623550547117426,1.0871496677398682
GraphSAGEPairNorm,8,0.005,126,0.5969704393271272,0.4683161848766944,0.46833251674016,1.0414157509803772
GraphSAGEPairNorm,8,0.005,151,0.6255756981871631,0.47102727421198753,0.4707659643965377,1.01364563703537
GraphSAGEPairNorm,8,0.005,176,0.6566389024987751,0.47584517393434583,0.4755185366650335,0.9776394069194794
GraphSAGEPairNorm,8,0.005,201,0.6811775273558713,0.4769557406500081,0.4793401927159889,0.948231554031372
GraphSAGEPairNorm,8,0.005,226,0.701420872121509,0.48334149926506614,0.4833251674016005,0.9212682962417602
GraphSAGEPairNorm,8,0.005,251,0.7230687571451903,0.4885186999836681,0.48878000979911806,0.8967150807380676
GraphSAGEPairNorm,8,0.005,276,0.7369835048178996,0.4932059447983015,0.4892699657030867,0.8796755313873291
GraphSAGEPairNorm,8,0.005,301,0.7494120529152377,0.49518210027764165,0.4943818389678262,0.860366839170456
GraphSAGEPairNorm,8,0.005,326,0.7608770210681038,0.49599869345092273,0.4953944145026948,0.8427216410636902
GraphSAGEPairNorm,8,0.005,351,0.7674179323860852,0.49797484893026295,0.4982198268822472,0.8288472175598145
GraphSAGEPairNorm,8,0.005,376,0.7772742119875878,0.49689694594153194,0.4997223583210844,0.8140633881092072
GraphSAGEPairNorm,8,0.005,400,0.785636126081986,0.5011922260329904,0.49900375632859706,0.801616770029068
GraphSAGEPairNorm,8,0.005,401,0.7872856442920138,0.5033806957373836,0.4999673362730688,0.7985961616039277
GraphSAGEPairNorm,8,0.005,426,0.7923975175567533,0.4985464641515597,0.49805650824759107,0.7993688881397247
GraphSAGEPairNorm,8,0.005,451,0.7964723174914258,0.5025151069737057,0.5015351951657684,0.7845223724842072
GraphSAGEPairNorm,8,0.005,476,0.8000489955903969,0.5024171157929119,0.5034623550547117,0.7762885868549347
GraphSAGEPairNorm,8,0.005,501,0.804744406336763,0.5039033153682835,0.5025804344275682,0.7711621522903442
GraphSAGEPairNorm,8,0.005,526,0.8084844030703904,0.5054058468071208,0.5035113506451087,0.7625894963741302
GraphSAGEPairNorm,8,0.005,551,0.8116936142413849,0.5055528335783113,0.5056344928956393,0.7561951041221618
GraphSAGEPairNorm,8,0.005,576,0.8155887636779356,0.5063367630246611,0.5077413032827046,0.7509963989257813
GraphSAGEPairNorm,8,0.005,601,0.8181936959007023,0.5061571125265393,0.5081169361424138,0.7448452055454254
GraphSAGEPairNorm,8,0.005,626,0.8239098481136697,0.5071533561979422,0.5079699493712233,0.7419632911682129
GraphSAGEPairNorm,8,0.005,651,0.8245059611301648,0.5074146660133921,0.5079372856442921,0.7331232130527496
GraphSAGEPairNorm,8,0.005,676,0.8279193205944798,0.5067777233382329,0.5070063694267516,0.7291230976581573
GraphSAGEPairNorm,8,0.005,701,0.8281561326147313,0.5074309978768577,0.5071696880614078,0.724733418226242
GraphSAGEPairNorm,8,0.005,726,0.8302057814796668,0.5091131798138168,0.5083455822309325,0.7192496538162232
GraphSAGEPairNorm,8,0.005,751,0.8337579617834395,0.5090805160868855,0.5095214764004573,0.7197982013225556
GraphSAGEPairNorm,8,0.005,776,0.8351380042462845,0.5084762371386575,0.5098154499428385,0.7144110918045044
GraphSAGEPairNorm,8,0.005,800,0.8390086558876367,0.5090641842234198,0.5107463661603788,0.7095593571662903
