dataset,model,num_layers,hidden_channels,learning_rate,seed,split_idx,best_epoch_400,best_val_acc_400,test_acc_at_best_val_400,best_epoch_800,best_val_acc_800,test_acc_at_best_val_800,validation_gain_800_minus_400,test_gain_800_minus_400,best_epoch_shift,optimum_after_400,optimum_at_800_cap,optimum_last_10_percent,final_val_acc,final_test_acc,final_loss,summary_path,history_path
Amazon-Ratings,GraphSAGE,8,128,0.003,1,2,392,0.4715008982524906,0.4724808100604279,756,0.4795035113506451,0.4749305895802711,0.008002613098154532,0.0024497795198432093,364,True,False,True,0.4682345255593663,0.461865098807774,1.0649124383926392,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split2_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split2_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,3,351,0.4705209864445533,0.4652947901355544,780,0.4847297076596439,0.4760738200228646,0.014208721215090592,0.010779029887310165,429,True,False,True,0.4819532908704883,0.4783602809080516,1.0446515083312988,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split3_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split3_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,4,389,0.466438020578148,0.4679078882900539,631,0.4737873591376776,0.4723174914257717,0.007349338559529628,0.0044096031357177545,242,True,False,False,0.4617017801731177,0.4564755838641189,1.0716519355773926,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split4_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split4_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,5,396,0.462681691981055,0.4592520006532745,705,0.4791768740813327,0.4770537318308019,0.016495182100277672,0.017801731177527425,309,True,False,False,0.4476563775926833,0.4501061571125265,1.1263493299484253,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split5_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split5_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,6,368,0.4755838641188959,0.4721541727911155,766,0.4827698840437694,0.469541074636616,0.007186019924873499,-0.0026130981544995047,398,True,False,True,0.4687244814633349,0.4594153192879308,1.0548105239868164,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split6_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split6_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,7,372,0.461865098807774,0.466438020578148,731,0.4850563449289564,0.4791768740813327,0.023191246121182396,0.01273885350318471,359,True,False,True,0.4770537318308019,0.4816266536011759,1.0307374000549316,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split7_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,8,385,0.4638249224236485,0.4608851869998366,684,0.4772170504654581,0.4731340845990527,0.013392128041809614,0.012248897599216102,299,True,False,False,0.4762371386575208,0.4705209864445533,1.063658595085144,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split8_history.csv
Amazon-Ratings,GraphSAGE,8,128,0.003,1,9,395,0.4643148783276172,0.4564755838641189,698,0.476400457292177,0.4698677119059284,0.012085578964559807,0.013392128041809503,303,True,False,False,0.4698677119059284,0.4701943491752409,1.003920555114746,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L8_H128_seed1_split9_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,0,345,0.5133104687244815,0.5084109096847951,545,0.5182100277641679,0.5159235668789809,0.004899559039686419,0.007512657194185812,200,True,False,False,0.5057978115302956,0.5128205128205128,0.6305688619613647,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split0_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split0_history.csv
Amazon-Ratings,GraphSAGEPairNorm,4,128,0.01,1,1,351,0.5211497631879798,0.5103707333006696,732,0.530458925363384,0.5138004246284501,0.009309162175404229,0.003429691327780482,381,True,False,True,0.5299689694594153,0.5252327290543851,0.6549894213676453,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split1_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split1_history.csv
