model,num_layers,learning_rate,mean_test_400,mean_test_800,mean_val_400,mean_val_800,optimum_after_400_count,optimum_at_800_cap_count,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
GraphSAGE,4,0.005,0.48430507920953775,0.4987587783766127,0.4914747672709455,0.5040829658664052,10,0,10,0.01445369916707498,1.4453699167074978,0.006318857798499145,0.01184060101257553,0.008002613098154476,0.029234035603462383,10,0,0,0.009933460602960336,0.018973937731189622,4.903330621383172e-05,0.001953125,0.001953125,2.2873911121259956,0.00019613322485532688,0.0078125,0.0078125
GraphSAGE,8,0.003,0.4651641352278295,0.4751755675322554,0.4673689367956884,0.4802057814796668,10,0,10,0.010011432304425933,1.0011432304425933,0.006589681478484697,0.011840601012575558,-0.0026130981544995047,0.017801731177527425,9,1,0,0.00529745815052845,0.014725406458323417,0.0009678777143204088,0.005859375,0.005859375,1.5192589106337306,0.0029036331429612263,0.017578125,0.017578125
GraphSAGEPairNorm,4,0.01,0.510828025477707,0.5162502041482931,0.519238935162502,0.5244487996080353,9,0,10,0.005422178670586297,0.5422178670586297,0.004318123286820483,0.004736240405030234,-0.0003266372693124797,0.011595623060591143,8,1,1,0.0023331793564501948,0.008511177984722399,0.0032506709501159527,0.0078125,0.0078125,1.255679449249526,0.004588648956802447,0.017578125,0.017578125
GraphSAGEPairNorm,8,0.005,0.5010125755348686,0.5098154499428385,0.507414666013392,0.5173934345908868,10,0,10,0.008802874407969952,0.8802874407969952,0.006622162829615188,0.010125755348685317,-0.004082965866405275,0.019761554793401914,9,1,0,0.004065664495225441,0.013540084320714463,0.0022943244784012235,0.005859375,0.005859375,1.3293050374119968,0.004588648956802447,0.017578125,0.017578125
