metric,baseline_l4_mean,baseline_l8_mean,pairnorm_l4_mean,pairnorm_l8_mean,baseline_mean_depth_change,pairnorm_mean_depth_change,n_pairs,mean_difference,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
mean_pairwise_cosine_distance,0.4266492068767548,0.7827714323997498,0.9931302666664124,0.9898889422416687,0.356122225522995,-0.003241324424743619,10,-0.35936354994773867,0.039395645516867174,-0.3579058349132537,-0.41929781436920177,-0.2784208655357362,0,10,0,-0.3875454970340982,-0.33118160286137915,3.5235773132760227e-10,0.001953125,0.001953125,-9.121910435351994,2.1141463879656134e-09,0.015625,0.015625
mean_edge_cosine_distance,0.2227911591529846,0.268060564994812,0.48796271085739135,0.5080618172883987,0.045269405841827405,0.02009910643100739,10,-0.025170299410820007,0.032382185418846396,-0.029282361268997234,-0.0874612033367157,0.024547383189201438,2,8,0,-0.0483351193811867,-0.0020054794404533102,0.0362773635151298,0.037109375,0.03125,-0.7772884715857047,0.0725547270302596,0.07421875,0.0625
normalized_dirichlet_energy,0.6391586796385148,0.44997288426263465,0.916332471985443,1.0376611906995736,-0.18918579537588012,0.12132871871413053,10,0.31051451409001063,0.08446694254835845,0.31704991491530854,0.12398260194272692,0.42366697611654586,10,0,0,0.2500905034103221,0.3709385247696992,1.0085937893066897e-06,0.001953125,0.001953125,3.6761661393418725,4.034375157226759e-06,0.015625,0.015625
effective_rank,3.0954846858978273,3.24870023727417,20.39208984375,11.78278045654297,0.1532155513763429,-8.60930938720703,10,-8.762524938583374,0.623968455230739,-8.939900517463684,-9.528558015823364,-7.5109014511108345,0,10,0,-9.208885082151559,-8.316164795015188,7.440143843962161e-12,0.001953125,0.001953125,-14.043217834374426,5.952115075169729e-11,0.015625,0.015625
effective_rank_ratio,0.02418347410857672,0.0253804706037044,0.15931320190429682,0.0920529723167419,0.0011969964951276794,-0.06726022958755493,10,-0.0684572260826826,0.004874753556490148,-0.06984297279268506,-0.07444185949862012,-0.05867891758680341,0,10,0,-0.07194441470430905,-0.06497003746105616,7.440143843962161e-12,0.001953125,0.001953125,-14.043217834374426,5.952115075169729e-11,0.015625,0.015625
mean_embedding_norm,1.5045769572257996,2.7051564931869505,0.9999969124794006,0.999997329711914,1.200579535961151,4.172325135831656e-07,10,-1.2005791187286377,0.28754187961933286,-1.1505661308765411,-1.8342646956443784,-0.8629533052444452,0,10,0,-1.4062741880751952,-0.99488404938208,3.3978207419687396e-07,0.001953125,0.001953125,-4.175319158092882,1.6989103709843697e-06,0.015625,0.015625
mean_feature_variance,0.013449424877762742,0.060378254204988435,0.00935573102906341,0.008961028791964,0.0469288293272257,-0.0003947022370994105,10,-0.04732353156432511,0.01771305345874929,-0.043093046639114646,-0.0892922338098288,-0.0259211594238877,0,10,0,-0.059994686682182066,-0.03465237644646815,1.4277798812243787e-05,0.001953125,0.001953125,-2.6716755343472327,4.283339643673136e-05,0.015625,0.015625
gradient_norm,2.596522192489541,3.224784374640449,0.6377716647072373,0.6020864207044836,0.6282621821509079,-0.035685244002753615,10,-0.6639474261536616,1.2057338021435144,-0.45570655610016536,-3.1369920413837726,0.6872858854586601,4,6,0,-1.5264774283006035,0.19858257599328022,0.11560844889341168,0.193359375,0.115234375,-0.5506583832793918,0.11560844889341168,0.193359375,0.115234375
