model,num_layers,seed,split_idx,best_epoch,best_val_acc,test_acc_at_best_val
GraphSAGEPairNorm,4,1,0,799,0.5226196308998857,0.5250694104197289
GraphSAGEPairNorm,4,1,1,598,0.5301322880940715,0.5191899395721051
GraphSAGEPairNorm,4,1,2,759,0.5253960476890414,0.5198432141107301
GraphSAGEPairNorm,4,1,3,775,0.5291523762861342,0.5103707333006696
GraphSAGEPairNorm,4,1,4,589,0.5307855626326964,0.5253960476890414
GraphSAGEPairNorm,4,1,5,602,0.5316021558059775,0.524416135881104
GraphSAGEPairNorm,4,1,6,658,0.5340519353258206,0.5245794545157603
GraphSAGEPairNorm,4,1,7,616,0.5237628613424792,0.5180467091295117
GraphSAGEPairNorm,4,1,8,747,0.5324187489792586,0.510697370569982
GraphSAGEPairNorm,4,1,9,686,0.5234362240731667,0.5183733463988242
GraphSAGEPairNorm,8,1,0,626,0.5164135227829495,0.5180467091295117
GraphSAGEPairNorm,8,1,1,773,0.522129674995917,0.5121672382818879
GraphSAGEPairNorm,8,1,2,627,0.5149436550710436,0.5185366650334803
GraphSAGEPairNorm,8,1,3,761,0.5126571941858566,0.5059611301649518
GraphSAGEPairNorm,8,1,4,798,0.5222929936305732,0.5100440960313571
GraphSAGEPairNorm,8,1,5,690,0.5139637432631063,0.5209864445533235
GraphSAGEPairNorm,8,1,6,738,0.5298056508247591,0.5139637432631063
GraphSAGEPairNorm,8,1,7,741,0.5193532582067614,0.5124938755512004
GraphSAGEPairNorm,8,1,8,767,0.5195165768414176,0.5033480320104524
GraphSAGEPairNorm,8,1,9,697,0.5108606892046382,0.5071043606075453
GraphSAGE,4,1,0,675,0.4989384288747346,0.5022048015678588
GraphSAGE,4,1,1,681,0.5123305569165442,0.4959986934509227
GraphSAGE,4,1,2,769,0.5162502041482934,0.5054711742609832
GraphSAGE,4,1,3,773,0.5151069737056998,0.5095541401273885
GraphSAGE,4,1,4,762,0.515270292340356,0.5041646251837335
GraphSAGE,4,1,5,663,0.5071043606075453,0.5115139637432631
GraphSAGE,4,1,6,791,0.5208231259186673,0.5072676792422015
GraphSAGE,4,1,7,770,0.496162012085579,0.506124448799608
GraphSAGE,4,1,8,774,0.519026620937449,0.4997550220480157
GraphSAGE,4,1,9,735,0.506124448799608,0.5040013065490773
GraphSAGE,8,1,0,697,0.4791768740813327,0.4860362567368936
GraphSAGE,8,1,1,775,0.4888126735260493,0.4804834231585824
GraphSAGE,8,1,2,786,0.4796668299853013,0.4698677119059284
GraphSAGE,8,1,3,793,0.4762371386575208,0.4752572268495835
GraphSAGE,8,1,4,758,0.4772170504654581,0.4723174914257717
GraphSAGE,8,1,5,742,0.4765637759268332,0.4754205454842397
GraphSAGE,8,1,6,798,0.4871794871794871,0.4708476237138657
GraphSAGE,8,1,7,712,0.4801567858892699,0.4795035113506451
GraphSAGE,8,1,8,790,0.4817899722358321,0.4736240405030213
GraphSAGE,8,1,9,716,0.4759105013882084,0.4760738200228646
