num_layers,metric,n,spearman_rho,spearman_pvalue,spearman_holm_pvalue
4,mean_pairwise_cosine_distance,10,0.2978737164032316,0.4032038726329136,1.0
4,mean_edge_cosine_distance,10,0.36474332620803873,0.3000669694646655,1.0
4,normalized_dirichlet_energy,10,0.14589733048321551,0.6875567115411831,1.0
4,effective_rank_ratio,10,0.3708223816448394,0.2914682712989585,1.0
8,mean_pairwise_cosine_distance,10,-0.24848484848484845,0.48877630451924314,1.0
8,mean_edge_cosine_distance,10,0.006060606060606061,0.9867429111949892,1.0
8,normalized_dirichlet_energy,10,-0.09090909090909088,0.8027717312071619,1.0
8,effective_rank_ratio,10,0.10303030303030303,0.7769984634438898,1.0
