Metrik,Epoche,GraphSAGE,PairNorm,Verhältnis,Positive Splits,Exaktes p (Holm)
Effektiver Ranganteil,400,0.020182661525905,0.0840424172580241,4.164089912034301,10,0.0078125
Effektiver Ranganteil,600,0.0241046687588095,0.0888129256665706,3.684469865785324,10,0.0078125
Effektiver Ranganteil,800,0.0253804706037044,0.0920529723167419,3.626921413478689,10,0.0078125
Normalisierte Dirichlet-Energie,400,0.0888585449388896,0.886727698074089,9.97909316075246,10,0.0078125
Normalisierte Dirichlet-Energie,600,0.2717476479680395,1.001010216651248,3.683602136526965,10,0.0078125
Normalisierte Dirichlet-Energie,800,0.4499728842626346,1.0376611906995736,2.3060527133762228,10,0.0078125
