dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.3263932466506958,0.22187340259552002,0.16455353796482086,0.5003855637395904,128,104.98712158203125,0.8202118873596191,0.5636890530586243,0.0009327548323199153,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9952647686004639,0.6719469428062439,1.5793890953063965,1.3782555858416072,128,104.58364868164062,0.8170597553253174,0.9999915957450867,0.008952604606747627,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.23718148469924927,0.14022237062454224,0.21568948030471802,0.3112097888602333,128,100.64331817626953,0.7862759232521057,0.822739839553833,0.0014563188888132572,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9956057071685791,0.595712423324585,1.2918936014175415,1.157077744723227,128,100.99993896484375,0.7890620231628418,0.9999942183494568,0.008722765371203423,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.2732449769973755,0.13839197158813477,0.18352119624614716,0.2976695780646562,128,101.0099105834961,0.7891399264335632,0.7744348645210266,0.00148784217890352,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.995732843875885,0.5291142463684082,1.0853252410888672,0.9636499348631151,128,100.8209457397461,0.7876636385917664,0.9999943375587463,0.00879894569516182,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,7,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.2831500768661499,0.1198776438832283,0.1546923667192459,0.24379719958558443,128,98.93502807617188,0.7729299068450928,0.7834396362304688,0.0015889975475147367,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,8,pns.3,2048,0,0,,nan,nan,nan,nan,nan,0.9939944744110107,0.4649205803871155,0.883735179901123,0.7605638629088528,128,98.87041473388672,0.77242511510849,0.9999943971633911,0.009077712893486023,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,9,convs.4,2048,0,0,,nan,nan,nan,nan,nan,0.27855420112609863,0.10292135924100876,0.12908068299293518,0.2013951842545285,128,97.51164245605469,0.7618097066879272,0.782723069190979,0.0016520009376108646,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,10,pns.4,2048,0,0,,nan,nan,nan,nan,nan,0.9920256733894348,0.4099005162715912,0.7311086058616638,0.6104371091818429,128,98.28009033203125,0.7678132057189941,0.9999945163726807,0.009356878697872162,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,11,convs.5,2048,0,0,,nan,nan,nan,nan,nan,0.3024636507034302,0.09742330759763718,0.11324089020490646,0.18061615863545008,128,95.32771301269531,0.7447477579116821,0.7600571513175964,0.001887484104372561,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,12,pns.5,2048,0,0,,nan,nan,nan,nan,nan,0.9851717352867126,0.35549789667129517,0.6049565076828003,0.4687162039656969,128,91.89004516601562,0.7178909778594971,0.9999947547912598,0.01008333545178175,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,13,convs.6,2048,0,0,,nan,nan,nan,nan,nan,0.31842535734176636,0.08823926001787186,0.10013522952795029,0.15418575185166217,128,90.65309143066406,0.708227276802063,0.7544086575508118,0.0022493714932352304,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,14,pns.6,2048,0,0,,nan,nan,nan,nan,nan,0.9788808226585388,0.30707356333732605,0.5024970769882202,0.3477889407392208,128,89.06436920166016,0.69581538438797,0.9999948740005493,0.011287759989500046,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,1,15,convs.7,2048,0,0,,nan,nan,nan,nan,nan,0.22461473941802979,0.04323013499379158,0.003664983669295907,0.08095189043235272,5,4.531562805175781,0.9063125610351562,0.18880979716777802,0.00391792505979538,0.30551796825534866
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.44587022066116333,0.27965959906578064,0.191194087266922,0.5995234209475735,128,94.74710845947266,0.7402117848396301,0.5422061681747437,0.0012178214965388179,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9951927661895752,0.602717399597168,1.4002633094787598,1.226537481763151,128,94.11922454833984,0.735306441783905,0.9999932050704956,0.008919056504964828,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.325423002243042,0.1418522447347641,0.17885532975196838,0.30686070705205176,128,85.04666900634766,0.6644271016120911,0.7370250821113586,0.0017102855490520597,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9962587952613831,0.44023576378822327,0.9231989979743958,0.8170023336881884,128,85.48707580566406,0.6678677797317505,0.9999948740005493,0.00882799457758665,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.526212215423584,0.12001024186611176,0.14007295668125153,0.22924367760029266,128,69.43203735351562,0.5424377918243408,0.7206889390945435,0.002930439542979002,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.9822016954421997,0.2521972954273224,0.462178111076355,0.37343202185287067,128,69.41670989990234,0.5423180460929871,0.9999962449073792,0.009669139981269836,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,7,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.573251485824585,0.06098415330052376,0.10892205685377121,0.10862672184168776,128,46.64970779418945,0.3644508421421051,0.8546921610832214,0.005657000932842493,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,8,pns.3,2048,0,0,,nan,nan,nan,nan,nan,0.9503615498542786,0.12224094569683075,0.21560727059841156,0.15042485900826352,128,47.52409362792969,0.3712819814682007,0.9999972581863403,0.011197828687727451,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,9,convs.4,2048,0,0,,nan,nan,nan,nan,nan,0.6416146755218506,0.038694627583026886,0.10821481794118881,0.06883801756857419,128,23.773101806640625,0.18572735786437988,0.9996134042739868,0.009986026212573051,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,10,pns.4,2048,0,0,,nan,nan,nan,nan,nan,0.9230896830558777,0.06326721608638763,0.13207373023033142,0.0846611238910679,128,24.333627700805664,0.19010646641254425,0.9999980926513672,0.012187719345092773,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,11,convs.5,2048,0,0,,nan,nan,nan,nan,nan,0.5684880614280701,0.02680893987417221,0.18252980709075928,0.06054361381679516,128,10.456461906433105,0.08169110864400864,1.170896053314209,0.018866147845983505,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,12,pns.5,2048,0,0,,nan,nan,nan,nan,nan,0.8281317949295044,0.04922492802143097,0.13714075088500977,0.07558586734424697,128,10.145228385925293,0.07925959676504135,0.9999986886978149,0.014174768701195717,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,13,convs.6,2048,0,0,,nan,nan,nan,nan,nan,0.6041878461837769,0.03137459605932236,0.31374219059944153,0.06340227773695811,128,4.929069519042969,0.03850835561752319,1.3066641092300415,0.03332655876874924,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,14,pns.6,2048,0,0,,nan,nan,nan,nan,nan,0.7564393281936646,0.04632072150707245,0.1633390486240387,0.07354828020920928,128,4.593712329864502,0.03588837757706642,0.9999988675117493,0.017350319772958755,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,10,15,convs.7,2048,0,0,,nan,nan,nan,nan,nan,0.09943467378616333,0.0027317700441926718,0.009819948114454746,0.01284489744751627,5,2.6518399715423584,0.5303679943084717,0.832605242729187,0.026662111282348633,0.1726998217695149
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.4932119846343994,0.2813449203968048,0.172137051820755,0.6221611953417305,128,89.29983520507812,0.6976549625396729,0.5053537487983704,0.0011682955082505941,0.09516109071999163
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9943609833717346,0.5671432018280029,1.323736548423767,1.1510965228495775,128,89.4260482788086,0.6986410021781921,0.9999929070472717,0.008984209969639778,0.09516109071999163
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.5472061038017273,0.18174071609973907,0.11625547707080841,0.3497844562060885,128,74.62539672851562,0.5830109119415283,0.5381650924682617,0.0014983279397711158,0.09516109071999163
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9945895075798035,0.3373824656009674,0.6977019906044006,0.6061729660925228,128,74.52714538574219,0.5822433233261108,0.999994158744812,0.0089921485632658,0.09516109071999163
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.8253217935562134,0.10938087105751038,0.10017342120409012,0.1813704824412969,128,45.47184753417969,0.3552488088607788,0.6291157603263855,0.003692065365612507,0.09516109071999163
Amazon-Ratings,GraphSAGEPairNorm,1,6,8,128,25,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.9799602627754211,0.14019939303398132,0.2856096625328064,0.21196938589355965,128,44.932010650634766,0.3510313332080841,0.9999964833259583,0.010526640340685844,0.09516109071999163
