epoch,num_layers,metric,baseline_mean,pairnorm_mean,pairnorm_to_baseline_ratio,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,zero_pairs,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
400,4,mean_pairwise_cosine_distance,0.3528089225292206,0.9926301896572113,2.813506479771636,10,0.6398212671279907,0.6259139572210777,0.6537285770349037,10,0,0,3.5428301510217315e-15,0.001953125,0.001953125,32.910790447741945,1.0628490453065195e-14,0.0078125,0.0078125
400,4,mean_edge_cosine_distance,0.11652371138334269,0.43896224200725553,3.7671495079928095,10,0.3224385306239128,0.3134218973888375,0.3314551638589881,10,0,0,3.4127254459932834e-14,0.001953125,0.001953125,25.581458580490086,6.825450891986567e-14,0.0078125,0.0078125
400,4,normalized_dirichlet_energy,0.3204382551062412,0.8638820330981909,2.69593913751581,10,0.5434437779919499,0.5236493134694784,0.5632382425144213,10,0,0,3.6688278553748657e-13,0.001953125,0.001953125,19.639645172598858,3.6688278553748657e-13,0.0078125,0.0078125
400,4,effective_rank_ratio,0.025284584239125198,0.16229763329029082,6.4188373340603535,10,0.1370130490511656,0.13436263448133126,0.13966346362099993,10,0,0,1.2415491374293401e-15,0.001953125,0.001953125,36.98033959094816,4.9661965497173606e-15,0.0078125,0.0078125
400,8,mean_pairwise_cosine_distance,0.6888847410678863,0.9867302536964416,1.4323589925461915,10,0.2978455126285553,0.27903101311685863,0.31666001214025197,10,0,0,5.108049110676092e-11,0.001953125,0.001953125,11.324555523999724,5.108049110676092e-11,0.0078125,0.0078125
400,8,mean_edge_cosine_distance,0.06930872201919554,0.42588773667812346,6.14479280919609,10,0.35657901465892794,0.3444722784481227,0.36868575086973315,10,0,0,1.9516824328395255e-13,0.001953125,0.001953125,21.069366361441208,7.806729731358102e-13,0.0078125,0.0078125
400,8,normalized_dirichlet_energy,0.08885854493888966,0.886727698074089,9.979093160752461,10,0.7978691531351993,0.752907749244377,0.8428305570260217,10,0,0,1.838418417679055e-11,0.001953125,0.001953125,12.694470354090472,3.67683683535811e-11,0.0078125,0.0078125
400,8,effective_rank_ratio,0.02018266152590508,0.08404241725802417,4.164089912034301,10,0.06385975573211909,0.06144149247014557,0.06627801899409261,10,0,0,5.202086520682694e-13,0.001953125,0.001953125,18.890630311448728,1.5606259562048083e-12,0.0078125,0.0078125
600,4,mean_pairwise_cosine_distance,0.4001924455165863,0.9920784831047058,2.479003524976806,10,0.5918860375881195,0.5768259756637178,0.6069460995125212,10,0,0,1.460299853156448e-14,0.001953125,0.001953125,28.114742600140854,4.3808995594693436e-14,0.0078125,0.0078125
600,4,mean_edge_cosine_distance,0.18834725916385647,0.4747816801071167,2.520778280580504,10,0.2864344209432602,0.2735979841836707,0.2992708577028497,10,0,0,2.3587119439633426e-12,0.001953125,0.001953125,15.962594992061067,4.717423887926685e-12,0.0078125,0.0078125
600,4,normalized_dirichlet_energy,0.538107791800029,0.9143513129283694,1.6991973111367984,10,0.37624352112834025,0.34469671637686333,0.4077903258798172,10,0,0,6.393058159180648e-10,0.001953125,0.001953125,8.531716707693748,6.393058159180648e-10,0.0078125,0.0078125
600,4,effective_rank_ratio,0.02450074627995486,0.1626356795430183,6.637988805919667,10,0.13813493326306345,0.1359428860218745,0.1403269805042524,10,0,0,2.0907238216491785e-16,0.001953125,0.001953125,45.07921937593523,8.362895286596714e-16,0.0078125,0.0078125
600,8,mean_pairwise_cosine_distance,0.7559566795825958,0.988836407661438,1.3080596208336006,10,0.23287972807884216,0.19994818339653464,0.2658112727611497,10,0,0,6.442661666588776e-08,0.001953125,0.001953125,5.058739981771582,6.442661666588776e-08,0.0078125,0.0078125
