num_layers,metric,baseline_mean,pairnorm_mean,n_pairs,mean_difference,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
4,mean_pairwise_cosine_distance,0.4266492068767548,0.9931302666664124,10,0.5664810597896576,0.018309022279039962,0.5607286691665649,0.5493076443672179,0.6107110381126406,10,0,0,0.5533835742604519,0.5795785453188632,6.173324319786606e-15,0.001953125,0.001953125,30.93999511039762,3.703994591871964e-14,0.015625,0.015625
4,mean_edge_cosine_distance,0.2227911591529846,0.48796271085739135,10,0.26517155170440676,0.012180646858547325,0.26367237418890005,0.2469067126512528,0.2843164503574372,10,0,0,0.25645804185473975,0.27388506155407377,1.4547584113817742e-13,0.001953125,0.001953125,21.769907196540412,7.273792056908871e-13,0.015625,0.015625
4,normalized_dirichlet_energy,0.6391586796385148,0.916332471985443,10,0.27717379234692807,0.021199999453693393,0.2816161615398868,0.24597152784019483,0.31010047278219255,10,0,0,0.26200822633077947,0.2923393583630767,1.4118671757443058e-11,0.001953125,0.001953125,13.074235824974975,5.647468702977223e-11,0.015625,0.015625
4,effective_rank,3.0954846858978273,20.39208984375,10,17.296605157852174,0.4877639750780135,17.24724781513214,16.661728143692013,18.056514501571655,10,0,0,16.94767982978779,17.645530485916556,1.8106701658152478e-15,0.001953125,0.001953125,35.46101401827746,1.4485361326521676e-14,0.015625,0.015625
4,effective_rank_ratio,0.02418347410857672,0.15931320190429682,10,0.1351297277957201,0.0038106560552969722,0.13474412355571985,0.1301697511225939,0.1410665195435285,10,0,0,0.13240374867021712,0.1378557069212231,1.8106701658152095e-15,0.001953125,0.001953125,35.46101401827754,1.4485361326521676e-14,0.015625,0.015625
4,mean_embedding_norm,1.5045769572257996,0.9999969124794006,10,-0.504580044746399,0.04661994692509231,-0.49384620785713196,-0.5796322226524353,-0.44152700901031505,0,10,0,-0.5379299457360736,-0.4712301437567243,7.656806771218174e-11,0.001953125,0.001953125,-10.823265104894794,2.297042031365452e-10,0.015625,0.015625
4,mean_feature_variance,0.013449424877762742,0.00935573102906341,10,-0.00409369384869933,0.0007356093360693239,-0.00420781504362825,-0.0054246131330729,-0.0028736228123307003,0,10,0,-0.0046199170673660184,-0.0035674706300326416,2.7973863830832875e-08,0.001953125,0.001953125,-5.5650379188683115,5.594772766166575e-08,0.015625,0.015625
4,gradient_norm,2.596522192489541,0.6377716647072373,10,-1.9587505277823034,0.9764842725887168,-1.8355581305089517,-3.581234364976367,-0.718852694250725,0,10,0,-2.6572852957676427,-1.260215759796964,0.000133935253643692,0.001953125,0.001953125,-2.005921224506301,0.000133935253643692,0.015625,0.015625
8,mean_pairwise_cosine_distance,0.7827714323997498,0.9898889422416687,10,0.20711750984191898,0.032357376031967054,0.21142876148223883,0.16443938016891468,0.2775613069534302,10,0,0,0.18397043743778976,0.2302645822460482,8.167125440893463e-09,0.001953125,0.001953125,6.400936517142178,4.0835627204467314e-08,0.015625,0.015625
8,mean_edge_cosine_distance,0.268060564994812,0.5080618172883987,10,0.24000125229358674,0.03079679733393758,0.23693594336509707,0.1725948452949524,0.2835079729557038,10,0,0,0.21797055063843118,0.2620319539487423,1.4300820739026282e-09,0.001953125,0.001953125,7.793058794107437,8.580492443415768e-09,0.015625,0.015625
8,normalized_dirichlet_energy,0.44997288426263465,1.0376611906995736,10,0.5876883064369387,0.0956640086688169,0.596901062257189,0.3900973968927576,0.7112321163871758,10,0,0,0.5192543971811721,0.6561222156927053,1.1732911914688825e-08,0.001953125,0.001953125,6.143254026406949,4.0835627204467314e-08,0.015625,0.015625
8,effective_rank,3.24870023727417,11.78278045654297,10,8.534080219268798,0.5006793506948904,8.454583644866943,7.662003517150879,9.420076847076416,10,0,0,8.17591578806345,8.892244650474145,1.309188502109636e-12,0.001953125,0.001953125,17.04500137148534,1.0473508016877088e-11,0.015625,0.015625
8,effective_rank_ratio,0.0253804706037044,0.0920529723167419,10,0.06667250171303749,0.003911557427303848,0.066051434725523,0.05985940247774121,0.0735943503677845,10,0,0,0.0638743420942457,0.06947066133182928,1.3091885021096871e-12,0.001953125,0.001953125,17.04500137148527,1.0473508016877088e-11,0.015625,0.015625
8,mean_embedding_norm,2.7051564931869505,0.999997329711914,10,-1.7051591634750367,0.2705039719989068,-1.612388789653778,-2.3031193614006042,-1.3539671301841731,0,10,0,-1.8986660479417312,-1.5116522790083422,9.348705366548325e-09,0.001953125,0.001953125,-6.303638171649205,4.0835627204467314e-08,0.015625,0.015625
8,mean_feature_variance,0.060378254204988435,0.008961028791964,10,-0.05141722541302444,0.017615932321947764,-0.046766684390604496,-0.0933567360043526,-0.0295219598338008,0,10,0,-0.06401890425495299,-0.03881554657109589,6.94214808778926e-06,0.001953125,0.001953125,-2.9187910394594048,1.388429617557852e-05,0.015625,0.015625
8,gradient_norm,3.224784374640449,0.6020864207044836,10,-2.6226979539359654,1.5339997817194173,-2.5252616289182277,-5.511660037070323,-0.8961524333257016,0,10,0,-3.7200552915735567,-1.525340616298374,0.0004292948382508825,0.001953125,0.001953125,-1.7097120776616128,0.0004292948382508825,0.015625,0.015625
