model,num_layers,epoch,selected_representation,mean_mean_pairwise_cosine_distance,std_mean_pairwise_cosine_distance,mean_mean_edge_cosine_distance,std_mean_edge_cosine_distance,mean_normalized_dirichlet_energy,std_normalized_dirichlet_energy,mean_effective_rank,std_effective_rank,mean_effective_rank_ratio,std_effective_rank_ratio,mean_mean_embedding_norm,std_mean_embedding_norm,mean_mean_feature_variance,std_mean_feature_variance,mean_gradient_norm,std_gradient_norm
GraphSAGE,4,1,convs.2,0.14193557500839232,0.011286738190540999,0.16686101406812665,0.013774681718479105,0.3419783089775773,0.007748822783494613,13.562485218048096,1.0513495324437412,0.1059569157660007,0.008213668222216709,3.7939395189285277,0.28278322312050613,0.05861930102109906,0.012120330542739227,0.06345267343492896,0.0021074150387169394
GraphSAGE,4,10,convs.2,0.18191392421722408,0.033785524082890726,0.16448630616068835,0.039221965347654535,0.4514161373252586,0.18516819473895657,6.912127208709717,1.1041519168823544,0.054000993818044615,0.00862618685064342,3.1513981342315676,0.8809939779151156,0.10385685861110683,0.0812289984486088,0.24126500433540402,0.1011890325099474
GraphSAGE,4,25,convs.2,0.44542025923728945,0.07282131136306916,0.389332540333271,0.09229201326545171,0.9713699171103883,0.15103202015709863,11.065613937377929,1.3292846998636403,0.08645010888576504,0.010385036717684674,6.0269676685333256,1.181252412784752,0.42597600668668745,0.25907284709357137,0.3185519600935598,0.08026805107305415
GraphSAGE,4,50,convs.2,0.642205011844635,0.039506415670928434,0.551592019200325,0.04771756283843827,0.9235412722018801,0.06481909664473222,18.436341762542725,1.4096968961356342,0.14403392001986498,0.011013257001059635,8.942728042602539,1.2285634526268734,1.005940780043602,0.3311908723968905,0.33758478132237185,0.04095248838187176
GraphSAGE,4,100,convs.2,0.7254555463790894,0.021795457308620106,0.6250515341758728,0.028492151515961992,0.7544622754933454,0.09460523289767127,21.34096450805664,1.9270305865208723,0.16672628521919247,0.015054926457194338,10.502792453765869,0.3597571490032126,1.5308225274085998,0.19302243470281052,0.26123434326455663,0.0263885765306677
GraphSAGE,4,200,convs.2,0.8282652199268341,0.02886232637561947,0.7370441913604736,0.043536654707263915,0.7416475719247002,0.06329994113434396,18.622198867797852,1.0464887604920248,0.1454859286546707,0.008175693441343921,8.019971561431884,0.3519547206771325,0.962293004989624,0.13126846346164317,0.2658214955183274,0.022202456345232786
GraphSAGE,4,400,convs.2,0.8484937310218811,0.026961435022366035,0.7476061761379242,0.025791949794460374,0.7654176045650162,0.05222016697704328,18.543437957763672,0.8008865007476526,0.14487060904502863,0.006256925787091031,6.90725679397583,0.43267658443198004,0.7083452463150024,0.08651905437199889,0.26527373203070875,0.02381659412875337
GraphSAGE,4,600,convs.2,0.8531188488006591,0.02913652485843701,0.7503910660743713,0.04142522390531004,0.7161538195038342,0.08488383281129311,17.669551944732667,1.232359875155851,0.1380433745682239,0.009627811524655073,6.847425413131714,0.4465626538838146,0.7758605778217316,0.11524480242616938,0.26528172464505,0.02909121585767464
GraphSAGE,4,800,convs.2,0.8480323255062103,0.019820767328936416,0.7493988037109375,0.020893784403479457,0.7121804895896211,0.07839782735680727,17.428667640686037,1.5882460576186266,0.1361614659428596,0.0124081723251455,6.93728985786438,0.4196542099029607,0.8062359809875488,0.12700033539390546,0.2524847409449507,0.011243483535368925
GraphSAGEPairNorm,4,1,pns.2,0.9594118058681488,0.007032913206206537,1.206963312625885,0.059053982782865444,1.3943497753637693,0.193029964270919,43.045829391479494,2.3143433762709895,0.3362955421209335,0.01808080762711711,0.9999981045722961,1.6335491181918763e-07,0.01086380323395129,0.0007087110860704699,0.12133255279788879,0.0017754049749463
GraphSAGEPairNorm,4,10,pns.2,0.931338495016098,0.008168763425328657,0.930991393327713,0.029579551951814977,1.6062627263103235,0.1726306576923102,11.315492725372314,1.3835072878745758,0.08840228691697116,0.010808650686520123,0.9999995648860931,1.0532028099352939e-07,0.0120344083756208,0.00023897461179054713,0.08696247942844354,0.006608104948083336
GraphSAGEPairNorm,4,25,pns.2,0.9784053921699524,0.005156369785623506,0.9588562190532685,0.007436910101793478,1.4705398219640984,0.05589314684838267,10.156333541870117,0.9477627314396697,0.07934635579586022,0.00740439633937241,0.999999487400055,9.814174198754552e-08,0.01077570272609586,0.0002592605526732571,0.15197535108590582,0.008329289300505303
GraphSAGEPairNorm,4,50,pns.2,0.9787075042724609,0.0022332953401008795,0.9687435805797577,0.00924654954679157,1.3410055565317862,0.04491597744959761,14.77413387298584,0.3021935425213924,0.11542292088270183,0.002360887050948384,0.9999994516372681,9.651945268565798e-08,0.01043764930218454,0.00033017106583587086,0.16904043019554507,0.010208636238922632
GraphSAGEPairNorm,4,100,pns.2,0.9825085401535034,0.002258764800010786,0.9640978336334228,0.008302297054334499,1.273226815254341,0.051610938144513924,13.852437591552734,0.7326061824874834,0.10822216868400569,0.00572348580068346,0.9999993979930878,7.135981316616671e-08,0.01060435939580196,0.000398954476675424,0.1757343392517459,0.009048772708779445
GraphSAGEPairNorm,4,200,pns.2,0.9842238783836365,0.0031947955804199806,0.9679853796958924,0.005556892291015708,1.2570341104168006,0.05414473359906481,14.022540760040282,0.3028401311213448,0.10955109968781467,0.0023659385243854957,0.9999993801116943,3.0779706153834664e-08,0.01052449457347388,0.0005503138009417414,0.17239624044937274,0.005191466271715938
GraphSAGEPairNorm,4,400,pns.2,0.9858980178833008,0.003737707747071815,0.9684870123863221,0.007793643621547014,1.247985216423956,0.0714221260206869,13.464025020599365,0.578901488832204,0.1051876954734325,0.004522667881501592,0.9999994158744812,6.155941239290849e-08,0.01053390279412265,0.0006174276811150412,0.1706956173903528,0.007099239707099691
