epoch,loss,train_acc,val_acc,test_acc
1,1.610639214515686,0.30288461538461536,0.3034855769230769,0.30835734870317005
2,1.5537467002868652,0.32892628205128205,0.3203125,0.3371757925072046
3,1.5028549432754517,0.3453525641025641,0.3245192307692308,0.3448607108549472
4,1.4398809671401978,0.39663461538461536,0.3239182692307692,0.3285302593659942
5,1.3880155086517334,0.4387019230769231,0.3239182692307692,0.31796349663784823
6,1.3196208477020264,0.4807692307692308,0.31850961538461536,0.3025936599423631
7,1.2670162916183472,0.5404647435897436,0.31971153846153844,0.3121998078770413
8,1.221574068069458,0.5276442307692307,0.3203125,0.31316042267050914
9,1.1655972003936768,0.6057692307692307,0.32752403846153844,0.34293948126801155
10,1.0909234285354614,0.6254006410256411,0.3155048076923077,0.31412103746397696
11,1.04106605052948,0.6478365384615384,0.3082932692307692,0.31796349663784823
12,0.98451828956604,0.7035256410256411,0.33353365384615385,0.35446685878962536
13,0.9051089882850647,0.7019230769230769,0.3215144230769231,0.345821325648415
14,0.8639969229698181,0.7467948717948718,0.3239182692307692,0.34293948126801155
15,0.7980076670646667,0.7844551282051282,0.31430288461538464,0.3390970220941403
16,0.7474079132080078,0.7944711538461539,0.3034855769230769,0.32372718539865514
17,0.7411526441574097,0.8153044871794872,0.3239182692307692,0.32468780019212296
18,0.6807426810264587,0.8245192307692307,0.3239182692307692,0.32949087415946204
19,0.6240040063858032,0.8465544871794872,0.31490384615384615,0.33525456292026895
20,0.6071157455444336,0.8597756410256411,0.3137019230769231,0.31892411143131605
21,0.5715881586074829,0.874198717948718,0.3112980769230769,0.3266090297790586
22,0.5469860434532166,0.8701923076923077,0.32271634615384615,0.34197886647454373
23,0.5431015491485596,0.8858173076923077,0.3046875,0.3285302593659942
24,0.5355351567268372,0.8982371794871795,0.3088942307692308,0.31796349663784823
25,0.4987346827983856,0.9018429487179487,0.3094951923076923,0.3218059558117195
26,0.4973142147064209,0.9082532051282052,0.31310096153846156,0.3266090297790586
27,0.4737580120563507,0.9094551282051282,0.3203125,0.33525456292026895
28,0.48396164178848267,0.9198717948717948,0.3137019230769231,0.3390970220941403
29,0.4735523760318756,0.921875,0.3191105769230769,0.34293948126801155
30,0.46650931239128113,0.9182692307692307,0.31850961538461536,0.36023054755043227
31,0.4925679862499237,0.9214743589743589,0.3215144230769231,0.33525456292026895
32,0.45250678062438965,0.9350961538461539,0.3167067307692308,0.33525456292026895
33,0.44667237997055054,0.9370993589743589,0.31490384615384615,0.3285302593659942
34,0.45788663625717163,0.9399038461538461,0.3161057692307692,0.3400576368876081
35,0.43656808137893677,0.9455128205128205,0.32752403846153844,0.356388088376561
36,0.42439162731170654,0.9535256410256411,0.31430288461538464,0.3467819404418828
37,0.3929700553417206,0.9579326923076923,0.3112980769230769,0.3333333333333333
38,0.4096318185329437,0.9639423076923077,0.31009615384615385,0.3448607108549472
39,0.3900575041770935,0.9587339743589743,0.3125,0.33525456292026895
40,0.39258962869644165,0.9587339743589743,0.31490384615384615,0.3448607108549472
41,0.37742578983306885,0.967948717948718,0.3082932692307692,0.32949087415946204
42,0.3911975622177124,0.9715544871794872,0.30709134615384615,0.3323727185398655
43,0.35899674892425537,0.9707532051282052,0.3137019230769231,0.33045148895292986
44,0.37186557054519653,0.9683493589743589,0.31009615384615385,0.34390009606147937
45,0.3510730564594269,0.9739583333333334,0.3125,0.33525456292026895
46,0.36561593413352966,0.9771634615384616,0.31189903846153844,0.33525456292026895
47,0.36764830350875854,0.9735576923076923,0.3191105769230769,0.3314121037463977
48,0.33723196387290955,0.9731570512820513,0.33353365384615385,0.3506243996157541
49,0.3486979603767395,0.9731570512820513,0.32091346153846156,0.3467819404418828
50,0.3135187327861786,0.9815705128205128,0.31069711538461536,0.3381364073006724
51,0.32520753145217896,0.9799679487179487,0.31790865384615385,0.3400576368876081
52,0.33200010657310486,0.985176282051282,0.32271634615384615,0.345821325648415
53,0.3014276325702667,0.9803685897435898,0.33052884615384615,0.34966378482228627
54,0.2839853763580322,0.984375,0.3293269230769231,0.35350624399615754
55,0.2995956242084503,0.9839743589743589,0.31850961538461536,0.3506243996157541
56,0.2901105284690857,0.9847756410256411,0.31971153846153844,0.34966378482228627
57,0.303750604391098,0.9839743589743589,0.31850961538461536,0.34966378482228627
58,0.28453728556632996,0.9871794871794872,0.32752403846153844,0.345821325648415
59,0.2814241647720337,0.9875801282051282,0.33353365384615385,0.345821325648415
60,0.2874002456665039,0.9855769230769231,0.3269230769230769,0.34870317002881845
61,0.28446099162101746,0.9887820512820513,0.3269230769230769,0.33525456292026895
62,0.2746447026729584,0.9863782051282052,0.32271634615384615,0.3227665706051873
63,0.2750668525695801,0.9875801282051282,0.32992788461538464,0.33045148895292986
64,0.2851297855377197,0.9831730769230769,0.34194711538461536,0.34966378482228627
65,0.29527610540390015,0.9867788461538461,0.3347355769230769,0.34774255523535064
66,0.2965027391910553,0.9875801282051282,0.3251201923076923,0.34390009606147937
67,0.29401659965515137,0.9871794871794872,0.31430288461538464,0.3400576368876081
68,0.2683219909667969,0.9887820512820513,0.33052884615384615,0.3448607108549472
69,0.27319762110710144,0.9859775641025641,0.3317307692307692,0.35830931796349663
70,0.29012566804885864,0.9895833333333334,0.3233173076923077,0.3467819404418828
71,0.28145554661750793,0.9875801282051282,0.31790865384615385,0.3410182516810759
72,0.2784619629383087,0.9895833333333334,0.3293269230769231,0.3467819404418828
73,0.28191128373146057,0.9871794871794872,0.3245192307692308,0.35446685878962536
74,0.2604409158229828,0.9887820512820513,0.3233173076923077,0.3631123919308357
75,0.2879343330860138,0.9879807692307693,0.31189903846153844,0.3631123919308357
76,0.27306467294692993,0.9883814102564102,0.3125,0.3621517771373679
77,0.24394690990447998,0.9887820512820513,0.3191105769230769,0.3554274735830932
78,0.263456255197525,0.9895833333333334,0.3269230769230769,0.35446685878962536
79,0.2688262462615967,0.9895833333333334,0.3245192307692308,0.3381364073006724
80,0.2647697329521179,0.9895833333333334,0.3239182692307692,0.34870317002881845
81,0.27112725377082825,0.9875801282051282,0.31850961538461536,0.34966378482228627
82,0.2501152455806732,0.9875801282051282,0.3215144230769231,0.356388088376561
83,0.2637979984283447,0.9879807692307693,0.32572115384615385,0.3525456292026897
84,0.26197120547294617,0.9875801282051282,0.31971153846153844,0.34390009606147937
85,0.22860558331012726,0.9895833333333334,0.32091346153846156,0.34870317002881845
