epoch,num_layers,metric,baseline_mean,pairnorm_mean,pairnorm_to_baseline_ratio,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,zero_pairs,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
400,4,mean_pairwise_cosine_distance,0.8484937310218811,0.9858980178833008,1.1619390713658393,10,0.13740428686141967,0.11655879474592441,0.15824977897691492,10,0,0,1.1878306672485084e-07,0.001953125,0.001953125,4.7153171042507775,1.1878306672485084e-07,0.0078125,0.0078125
400,4,mean_edge_cosine_distance,0.7476061761379242,0.9684870123863221,1.2954507912032658,10,0.22088083624839783,0.20032396746979547,0.24143770502700018,10,0,0,1.6161921292009935e-09,0.001953125,0.001953125,7.686415344307795,6.464768516803974e-09,0.0078125,0.0078125
400,4,normalized_dirichlet_energy,0.7654176045650162,1.247985216423956,1.6304631732806578,10,0.4825676118589398,0.42882548924156705,0.5363097344763126,10,0,0,7.918313218046752e-09,0.001953125,0.001953125,6.423417180734891,2.375493965414026e-08,0.0078125,0.0078125
400,4,effective_rank_ratio,0.14487060904502863,0.1051876954734325,0.7260803013586979,10,-0.03968291357159616,-0.04501745723466242,-0.0343483699085299,0,10,0,4.140089247327629e-08,0.001953125,0.001953125,-5.321438545853577,8.280178494655258e-08,0.0078125,0.0078125
400,8,mean_pairwise_cosine_distance,0.29331307411193847,0.9904425799846649,3.3767420118704887,10,0.6971295058727265,0.501742411558648,0.892516600186805,10,0,0,2.0619761144012757e-05,0.001953125,0.001953125,2.5523507995500214,4.1239522288025514e-05,0.0078125,0.0078125
400,8,mean_edge_cosine_distance,0.2618704392109066,0.9764127612113953,3.728610087314998,10,0.7145423220004886,0.5535297700296622,0.875554873971315,10,0,0,3.464095593543537e-06,0.001953125,0.001953125,3.1746145154982,1.039228678063061e-05,0.0078125,0.0078125
400,8,normalized_dirichlet_energy,0.4151400156044181,1.551002458065844,3.7360948108258865,10,1.135862442461426,0.8982830762360348,1.3734418086868174,10,0,0,1.8567272165880386e-06,0.001953125,0.001953125,3.4201077954585584,7.4269088663521545e-06,0.0078125,0.0078125
400,8,effective_rank_ratio,0.0239972939714789,0.05574674233794209,2.3230428565903236,10,0.031749448366463186,0.02013232471392845,0.04336657201899792,10,0,0,0.00016225236381434447,0.001953125,0.001953125,1.9550611519327414,0.00016225236381434447,0.0078125,0.0078125
600,4,mean_pairwise_cosine_distance,0.8531188488006591,0.9894016027450562,1.1597465044125888,10,0.13628275394439698,0.11567583872248387,0.15688966916631011,10,0,0,1.1541268308112236e-07,0.001953125,0.001953125,4.730975410505092,2.3082536616224472e-07,0.0078125,0.0078125
600,4,mean_edge_cosine_distance,0.7503910660743713,0.971942138671875,1.2952474817651223,10,0.2215510725975037,0.1925432841654014,0.250558861029606,10,0,0,3.2866097665162777e-08,0.001953125,0.001953125,5.4636391940984,1.314643906606511e-07,0.0078125,0.0078125
600,4,normalized_dirichlet_energy,0.7161538195038342,1.268770601243945,1.7716453737871216,10,0.5526167817401111,0.4776415631459112,0.627592000334311,10,0,0,4.4873675393749606e-08,0.001953125,0.001953125,5.272651932133503,1.346210261812488e-07,0.0078125,0.0078125
600,4,effective_rank_ratio,0.1380433745682239,0.10941102579236026,0.7925844042467033,10,-0.02863234877586366,-0.03524572364298104,-0.02201897390874628,0,10,0,4.254263947391104e-06,0.001953125,0.001953125,-3.0971098483048265,4.254263947391104e-06,0.0078125,0.0078125
600,8,mean_pairwise_cosine_distance,0.2852617084980011,0.9868262946605683,3.459371746234505,10,0.7015645861625671,0.5168077368745276,0.8863214354506066,10,0,0,1.2483083073346639e-05,0.001953125,0.001953125,2.7163760025254624,2.4966166146693278e-05,0.0078125,0.0078125
600,8,mean_edge_cosine_distance,0.2556802683509886,0.9721679985523224,3.802280108755852,10,0.7164877302013337,0.5654403489034092,0.8675351114992582,10,0,0,1.9839212495032194e-06,0.001953125,0.001953125,3.393269326824652,6.499851357497157e-06,0.0078125,0.0078125
600,8,normalized_dirichlet_energy,0.44149250224424696,1.5307473259719124,3.467210242961401,10,1.0892548237276656,0.8650018641344291,1.313507783320902,10,0,0,1.6249628393742893e-06,0.001953125,0.001953125,3.4746741445377958,6.499851357497157e-06,0.0078125,0.0078125
600,8,effective_rank_ratio,0.02468324583023782,0.05466081649065013,2.2144906252033016,10,0.02997757066041231,0.01795547909771604,0.04199966222310858,10,0,0,0.00031730612910799535,0.001953125,0.001953125,1.7837713250513505,0.00031730612910799535,0.0078125,0.0078125
800,4,mean_pairwise_cosine_distance,0.8480323255062103,0.9911993563175201,1.1688226103006747,10,0.14316703081130983,0.12859892484093113,0.15773513678168852,10,0,0,3.565660827263469e-09,0.001953125,0.001953125,7.030119386072374,1.0696982481790407e-08,0.0078125,0.0078125
800,4,mean_edge_cosine_distance,0.7493988037109375,0.9711065232753754,1.2958474425987425,10,0.2217077195644379,0.20385155659027085,0.23956388253860497,10,0,0,4.467624980422907e-10,0.001953125,0.001953125,8.882095696079697,1.7870499921691628e-09,0.0078125,0.0078125
800,4,normalized_dirichlet_energy,0.7121804895896211,1.2491018110181746,1.7539118654288648,10,0.5369213214285538,0.4617931049467865,0.612049537910321,10,0,0,5.875386320789379e-08,0.001953125,0.001953125,5.112464973123851,1.1750772641578758e-07,0.0078125,0.0078125
800,4,effective_rank_ratio,0.1361614659428596,0.10875255763530726,0.7987028994014024,10,-0.027408908307552337,-0.0378506012446124,-0.01696721537049228,1,9,0,0.0002185397255008467,0.00390625,0.00390625,-1.8777751808634684,0.0002185397255008467,0.0078125,0.0078125
800,8,mean_pairwise_cosine_distance,0.3084051787853241,0.9861508548259735,3.1975820208661845,10,0.6777456760406494,0.47605885015612925,0.8794325019251695,10,0,0,3.3207221542052724e-05,0.001953125,0.001953125,2.4038756509411976,6.641444308410545e-05,0.0078125,0.0078125
800,8,mean_edge_cosine_distance,0.2814149962039664,0.9731375753879548,3.458016056410283,10,0.6917225791839883,0.5150562176554666,0.8683889407125099,10,0,0,9.72888028961264e-06,0.001953125,0.001953125,2.800921011595325,3.891552115845056e-05,0.0078125,0.0078125
800,8,normalized_dirichlet_energy,0.485046689209604,1.5221067657346092,3.138062375428067,10,1.037060076525005,0.7639265034661283,1.3101936495838817,10,0,0,1.2492008881074887e-05,0.001953125,0.001953125,2.7161365750780164,3.891552115845056e-05,0.0078125,0.0078125
800,8,effective_rank_ratio,0.024418366327881764,0.056155199557542744,2.2997115697057393,10,0.03173683322966099,0.02012300969483273,0.04335065676448925,10,0,0,0.0001623891125344514,0.001953125,0.001953125,1.9548396578400347,0.0001623891125344514,0.0078125,0.0078125
