num_layers,metric,baseline_mean,pairnorm_mean,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,exact_sign_flip_pvalue,cohen_dz,exact_sign_flip_holm_pvalue
4,mean_pairwise_cosine_distance,0.8421880006790161,0.9879667699337006,10,0.14577876925468444,0.11640983765263557,0.1751477008567333,10,0,0.001953125,3.5508220300919633,0.0078125
4,mean_edge_cosine_distance,0.7465372443199157,0.9680332720279694,10,0.2214960277080536,0.18558658915026777,0.25740546626583943,10,0,0.001953125,4.412453088481559,0.0078125
4,normalized_dirichlet_energy,0.751013047975522,1.2602537288237516,10,0.5092406808482297,0.4469026439921855,0.5715787177042739,10,0,0.001953125,5.843764998506917,0.0078125
4,effective_rank_ratio,0.14012415185570715,0.10847179070115083,10,-0.031652361154556316,-0.04193056013989853,-0.0213741621692141,0,10,0.001953125,-2.202986649221311,0.0078125
8,mean_pairwise_cosine_distance,0.23946068286895753,0.9842278361320496,10,0.7447671532630921,0.5968816989240339,0.8926526076021503,10,0,0.001953125,3.6026147995497473,0.0078125
8,mean_edge_cosine_distance,0.23885604217648507,0.9660433769226074,10,0.7271873347461224,0.6110903544160535,0.8432843150761913,10,0,0.001953125,4.480723618986008,0.0078125
8,normalized_dirichlet_energy,0.5202966778551075,1.4870085866565927,10,0.9667119088014855,0.8131903929061747,1.1202334246967964,10,0,0.001953125,4.504541503706163,0.0078125
8,effective_rank_ratio,0.020640147104859296,0.05617958009243007,10,0.03553943298757077,0.025226217957251183,0.04585264801789036,10,0,0.001953125,2.4651264176909873,0.0078125
