dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.7860687971115112,0.7581490278244019,6.122328758239746,0.7083320847697303,128,106.93301391601562,0.8354141712188721,2.327846050262451,0.056301526725292206,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9544928669929504,0.8922272324562073,1.2655631303787231,0.8516048260271674,128,107.59321594238281,0.8405719995498657,0.9999994039535522,0.011620277538895607,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.5530559420585632,0.6481195092201233,0.915590763092041,0.781815042645709,128,71.75576782226562,0.5605919361114502,0.9389617443084717,0.006249796599149704,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9647151231765747,1.1098467111587524,1.5984125137329102,1.1419215744467923,128,71.96629333496094,0.5622366666793823,0.9999975562095642,0.01093287393450737,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.5390682816505432,0.7464619874954224,1.3763527870178223,0.7916562559511295,128,39.87635803222656,0.31153404712677,1.1293998956680298,0.009106765501201153,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.9523167014122009,1.147742509841919,1.7186399698257446,1.1812178587742848,128,40.866580963134766,0.31927016377449036,0.9999980926513672,0.011384651064872742,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,1,7,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.8592139482498169,1.2471327781677246,0.27218490839004517,1.4005927554364308,5,2.723062753677368,0.5446125507354737,0.36972251534461975,0.03467399999499321,0.12177575980481807
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.8653131723403931,0.8684484362602234,24.857593536376953,1.0741860495412472,128,112.72080993652344,0.8806313276290894,4.053635120391846,0.15717920660972595,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9699475765228271,0.8647301197052002,1.6136831045150757,1.2353114688198163,128,112.57771301269531,0.8795133829116821,0.9999997019767761,0.010207705199718475,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.5378358364105225,0.5699230432510376,5.3680830001831055,1.0577025112888159,128,47.072303771972656,0.3677523732185364,1.875883936882019,0.023277070373296738,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9614311456680298,1.0106725692749023,2.417555809020996,1.8022454906091088,128,46.69662094116211,0.364817351102829,0.9999990463256836,0.010464286431670189,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.7377943992614746,0.5954985618591309,20.809833526611328,1.3869297565264485,128,10.227766036987305,0.07990442216396332,2.918030261993408,0.09408390522003174,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.9254377484321594,0.8999461531639099,2.698638677597046,1.7290353536754126,128,10.495270729064941,0.08199430257081985,0.9999996423721313,0.012224319390952587,0.08197960170496912
Squirrel,GraphSAGEPairNorm,1,1,4,128,10,7,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.7906199097633362,0.775952160358429,15.203824996948242,1.7229328511305462,5,2.2401039600372314,0.44802079200744627,2.2779242992401123,1.7163490056991577,0.08197960170496912
