epoch,num_layers,metric,baseline_mean,pairnorm_mean,pairnorm_to_baseline_ratio,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,zero_pairs,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
400,4,mean_pairwise_cosine_distance,0.7619246006011963,0.9916922271251678,1.301562157650079,10,0.22976762652397156,0.223263678146594,0.23627157490134912,10,0,0,3.807659953186118e-14,0.001953125,0.001953125,25.271704027999398,1.5230639812744472e-13,0.0078125,0.0078125
400,4,mean_edge_cosine_distance,0.7951404273509979,1.00539670586586,1.2644265984756036,10,0.21025627851486206,0.20203526529956076,0.21847729173016336,10,0,0,6.933979576273123e-13,0.001953125,0.001953125,18.29558923261042,1.3867959152546245e-12,0.0078125,0.0078125
400,4,normalized_dirichlet_energy,1.6235458920477885,1.9195257637995886,1.1823045921901714,10,0.29597987175179996,0.272158875827373,0.3198008676762269,10,0,0,4.4393456867314494e-10,0.001953125,0.001953125,8.888429600631268,4.4393456867314494e-10,0.0078125,0.0078125
400,4,effective_rank_ratio,0.08384397029876703,0.1298512071371078,1.5487244541783982,10,0.04600723683834078,0.04435483588301901,0.04765963779366255,10,0,0,3.2340241128800046e-13,0.001953125,0.001953125,19.917438616669994,9.702072338640014e-13,0.0078125,0.0078125
400,8,mean_pairwise_cosine_distance,0.7026571869850159,0.9967662155628204,1.4185668830056049,10,0.2941090285778046,0.2836984799001067,0.30451957725550244,10,0,0,2.837543149251152e-13,0.001953125,0.001953125,20.209590408752632,5.675086298502304e-13,0.0078125,0.0078125
400,8,mean_edge_cosine_distance,0.675430315732956,1.0533549547195435,1.5595316499474494,10,0.3779246389865875,0.36567889259323866,0.39017038537993637,10,0,0,1.2826515032316392e-13,0.001953125,0.001953125,22.07713533811576,3.8479545096949176e-13,0.0078125,0.0078125
400,8,normalized_dirichlet_energy,1.287176747172482,2.107262362392423,1.6371196628756761,10,0.820085615219941,0.7949738658281125,0.8451973646117696,10,0,0,7.716110203711781e-14,0.001953125,0.001953125,23.36172996932587,3.0864440814847125e-13,0.0078125,0.0078125
400,8,effective_rank_ratio,0.09122955873608583,0.10603319332003587,1.1622679621500183,10,0.014803634583950048,0.011023810323399165,0.01858345884450093,10,0,0,9.707221915649822e-06,0.001953125,0.001953125,2.8016864021643944,9.707221915649822e-06,0.0078125,0.0078125
600,4,mean_pairwise_cosine_distance,0.7265449583530426,0.9957910418510437,1.3705842018480694,10,0.2692460834980011,0.26423031270320957,0.27426185429279265,10,0,0,8.846600360112138e-16,0.001953125,0.001953125,38.400288434354955,3.5386401440448553e-15,0.0078125,0.0078125
600,4,mean_edge_cosine_distance,0.751422792673111,0.9960034668445588,1.3254900923372004,10,0.24458067417144774,0.23561742681711628,0.2535439215257792,10,0,0,3.8758185245684437e-13,0.001953125,0.001953125,19.519987279529783,7.751637049136887e-13,0.0078125,0.0078125
600,4,normalized_dirichlet_energy,1.5480648250618776,1.8737228576804217,1.2103645967186982,10,0.3256580326185443,0.2993072962438199,0.3520087689932687,10,0,0,4.65695220357138e-10,0.001953125,0.001953125,8.840805027661713,4.65695220357138e-10,0.0078125,0.0078125
600,4,effective_rank_ratio,0.08099703341722486,0.13939979374408717,1.721048140442664,10,0.05840276032686233,0.05670702080078991,0.06009849985293474,10,0,0,4.78481871510313e-14,0.001953125,0.001953125,24.6375208493068,1.435445614530939e-13,0.0078125,0.0078125
600,8,mean_pairwise_cosine_distance,0.6934514224529267,0.9987530469894409,1.440263895424108,10,0.30530162453651427,0.29639961408796367,0.3142036349850649,10,0,0,4.96983675918693e-14,0.001953125,0.001953125,24.53374176360503,1.987934703674772e-13,0.0078125,0.0078125
600,8,mean_edge_cosine_distance,0.6679148018360138,1.0455772280693054,1.5654350303289357,10,0.3776624262332916,0.3653596397544124,0.38996521271217083,10,0,0,1.3457066186379184e-13,0.001953125,0.001953125,21.959531298222476,4.037119855913755e-13,0.0078125,0.0078125
600,8,normalized_dirichlet_energy,1.2698195978879039,2.0584126473201185,1.6210276252972349,10,0.7885930494322144,0.7601403074384259,0.817045791426003,10,0,0,3.369329052690648e-13,0.001953125,0.001953125,19.82675286792713,6.738658105381296e-13,0.0078125,0.0078125
600,8,effective_rank_ratio,0.10716890245676033,0.11212109252810473,1.0462092076882328,10,0.0049521900713443995,0.0017974642759165222,0.008106915866772276,8,2,0,0.00620554015940485,0.01953125,0.013671875,1.1229449394420739,0.00620554015940485,0.01953125,0.013671875
800,4,mean_pairwise_cosine_distance,0.6960822820663453,0.9945388257503509,1.4287661837879664,10,0.29845654368400576,0.2879877819343814,0.3089253054336301,10,0,0,2.614890147319966e-13,0.001953125,0.001953125,20.394288719907564,7.844670441959898e-13,0.0078125,0.0078125
800,4,mean_edge_cosine_distance,0.723999297618866,0.9980404794216156,1.378510286824909,10,0.2740411818027496,0.26367789386515716,0.28440446974034206,10,0,0,5.138524900342076e-13,0.001953125,0.001953125,18.916511160197036,1.0277049800684151e-12,0.0078125,0.0078125
800,4,normalized_dirichlet_energy,1.4967116394530446,1.8757308750339483,1.2532346415902877,10,0.37901923558090383,0.3564116034530361,0.4016268677087716,10,0,0,3.057929188936743e-11,0.001953125,0.001953125,11.993030766853384,3.057929188936743e-11,0.0078125,0.0078125
800,4,effective_rank_ratio,0.07569021880626677,0.14346390813589097,1.8954088176583905,10,0.06777368932962419,0.06623836413025043,0.06930901452899794,10,0,0,5.138262560939386e-15,0.001953125,0.001953125,31.577920251703343,2.0553050243757545e-14,0.0078125,0.0078125
800,8,mean_pairwise_cosine_distance,0.6959782302379608,0.9989316523075104,1.4352915204919086,10,0.3029534220695496,0.2918396484135714,0.3140671957255278,10,0,0,3.911441746775255e-13,0.001953125,0.001953125,19.50011124742284,1.1734325240325766e-12,0.0078125,0.0078125
800,8,mean_edge_cosine_distance,0.6679491519927978,1.045943808555603,1.5659033407484302,10,0.3779946565628052,0.36573169629243674,0.3902576168331736,10,0,0,1.2967824861147458e-13,0.001953125,0.001953125,22.05022947454839,5.187129944458983e-13,0.0078125,0.0078125
800,8,normalized_dirichlet_energy,1.2640040049964623,2.04112875192661,1.6148119340273157,10,0.7771247469301478,0.7479366185075238,0.8063128753527717,10,0,0,4.832845681591332e-13,0.001953125,0.001953125,19.046152822187207,1.1734325240325766e-12,0.0078125,0.0078125
800,8,effective_rank_ratio,0.11548170745372768,0.11433093696832655,0.9900350409534581,10,-0.0011507704854011244,-0.005050717744151887,0.002749176773349639,4,6,0,0.5211974675072875,0.556640625,0.513671875,-0.2110827555660178,0.5211974675072875,0.556640625,0.513671875
