dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file,best_epoch,test_acc_at_best_val,metric_epoch_gap
Roman-empire,GraphSAGEPairNorm,1,3,8,128,800,14,pns.6,2048,0,0,,,,,,,0.99892395734787,1.057511806488037,2.129734992980957,2.057458866397414,128,14.560734748840332,0.1137557402253151,0.9999982714653016,0.0080869439989328,0.3097324086097212,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split3_oversmoothing.csv,800,0.7437345570067067,0
Roman-empire,GraphSAGEPairNorm,1,4,8,128,600,14,pns.6,2048,0,0,,,,,,,0.9989839792251588,1.0619757175445557,2.158712148666382,2.1002599027542224,128,14.470356941223145,0.1130496636033058,0.9999983906745912,0.0080299293622374,0.3009520688524604,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split4_oversmoothing.csv,773,0.7462054359336393,173
Roman-empire,GraphSAGEPairNorm,1,5,8,128,600,14,pns.6,2048,0,0,,,,,,,0.9989567399024964,1.048108458518982,2.122227907180786,2.062091853790268,128,14.109491348266602,0.1102304011583328,0.9999982714653016,0.0080403331667184,0.2815425402756566,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split5_oversmoothing.csv,748,0.754324038122132,148
Roman-empire,GraphSAGEPairNorm,1,6,8,128,600,14,pns.6,2048,0,0,,,,,,,0.999296486377716,1.052214741706848,2.1169116497039795,2.0613008594392053,128,14.403519630432127,0.112527497112751,0.9999982714653016,0.0080232694745063,0.3645992306242924,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split6_oversmoothing.csv,676,0.7562654429932933,76
Roman-empire,GraphSAGEPairNorm,1,7,8,128,600,14,pns.6,2048,0,0,,,,,,,0.9988860487937928,1.030031442642212,2.1037757396698,2.0379638503419537,128,14.656635284423828,0.1145049631595611,0.9999983906745912,0.0080647878348827,0.2682265728838433,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split7_oversmoothing.csv,790,0.7707377338510413,190
Roman-empire,GraphSAGEPairNorm,1,8,8,128,400,14,pns.6,2048,0,0,,,,,,,0.997767448425293,1.0473661422729492,2.152125358581543,2.090583228630486,128,13.502119064331056,0.1054853051900863,0.9999983906745912,0.0080424817278981,0.2348790975333188,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split8_oversmoothing.csv,562,0.7499117543240381,162
Roman-empire,GraphSAGEPairNorm,1,9,8,128,600,14,pns.6,2048,0,0,,,,,,,0.9996982216835022,1.0591930150985718,2.161572456359864,2.106180509142169,128,14.095144271850586,0.1101183146238327,0.9999982714653016,0.0080179665237665,0.3026251033782501,pns.6,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGEPairNorm_L8_H128_seed1_split9_oversmoothing.csv,672,0.7467349099894105,72
Roman-empire,GraphSAGE,1,0,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8274107575416565,0.8655722737312317,198.91409301757807,1.763823845385737,128,11.387340545654297,0.0889635980129242,9.76103401184082,0.75264972448349,0.2666756513133025,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv,282,0.7959759971761383,82
Roman-empire,GraphSAGE,1,1,4,128,400,3,convs.2,2048,0,0,,,,,,,0.7604655027389526,0.7983273267745972,147.31639099121094,1.6429540450642426,128,10.74098014831543,0.0839139074087143,8.448043823242188,0.5521330833435059,0.4393855882114089,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv,418,0.8010942463819273,18
Roman-empire,GraphSAGE,1,2,4,128,200,3,convs.2,2048,0,0,,,,,,,0.8076424598693848,0.8393604159355164,203.5233612060547,1.7277440265037798,128,11.156471252441406,0.0871599316596984,9.935998916625977,0.7708660364151001,0.2860489277720975,convs.2,runs/roman_empire_matched_lr_oversmoothing_800ep/Roman-empire_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv,352,0.7982703847511472,152
