dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Actor,GraphSAGEPairNorm,1,9,8,128,1,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.7043907642364502,0.6501909494400024,0.5308153629302979,1.2943820290042547,128,115.75013732910156,0.904297947883606,0.621149480342865,0.0023189648054540157,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,2,pns.0,2048,0,0,,nan,nan,nan,nan,nan,0.9991311430931091,0.9844404458999634,1.9411894083023071,1.788296060777047,128,115.60269165039062,0.9031460285186768,0.9999961256980896,0.008480443619191647,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,3,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.2903028726577759,0.2414289265871048,0.29277467727661133,0.5086381451892659,128,108.0538330078125,0.8441705703735352,0.7496574521064758,0.0014376597246155143,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,4,pns.1,2048,0,0,,nan,nan,nan,nan,nan,0.9968952536582947,0.9652913808822632,1.7594988346099854,1.5909897980874164,128,107.85755157470703,0.8426371216773987,0.999994158744812,0.008639957755804062,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,5,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.26559698581695557,0.20702055096626282,0.2734144330024719,0.4352747555457966,128,106.04112243652344,0.8284462690353394,0.7812373638153076,0.0014727688394486904,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,6,pns.2,2048,0,0,,nan,nan,nan,nan,nan,0.9943920969963074,0.9569635987281799,1.6487095355987549,1.4503635300275246,128,106.40621185302734,0.8312985301017761,0.999994158744812,0.008880906738340855,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,7,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.2725929617881775,0.20641069114208221,0.2587202191352844,0.4233467784094367,128,104.81624603271484,0.8188769221305847,0.7667490839958191,0.0015226119430735707,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,8,pns.3,2048,0,0,,nan,nan,nan,nan,nan,0.9895851016044617,0.925398051738739,1.5798040628433228,1.3274896446676812,128,104.92330932617188,0.8197133541107178,0.9999940395355225,0.009297413751482964,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,9,convs.4,2048,0,0,,nan,nan,nan,nan,nan,0.28231412172317505,0.2040274292230606,0.2527163028717041,0.4222576946764495,128,103.12403106689453,0.8056564927101135,0.7567644715309143,0.0016207639127969742,0.19306328031834352
Actor,GraphSAGEPairNorm,1,9,8,128,1,10,pns.4,2048,0,0,,nan,nan,nan,nan,nan,0.9903676509857178,0.9031698107719421,1.5099292993545532,1.218157563139568,128,103.54497528076172,0.8089451193809509,0.999994158744812,0.009683741256594658,0.19306328031834352
