num_layers,metric,baseline_mean,pairnorm_mean,n_pairs,mean_difference,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
4,mean_pairwise_cosine_distance,0.4526673793792725,0.8980015754699707,10,0.44533419609069824,0.012380302755433654,0.44808128476142894,0.425718367099762,0.4605864286422729,10,0,0,0.4364778610163723,0.45419053116502417,1.5923644423252106e-15,0.001953125,0.001953125,35.9711878528369,1.2738915538601685e-14,0.015625,0.015625
4,mean_edge_cosine_distance,0.42823065519332887,0.9050359666347504,10,0.4768053114414215,0.017034813969809968,0.48031820356845856,0.4473380148410797,0.49543118476867687,10,0,0,0.4646193396258913,0.48899128325695174,1.5198397493086425e-14,0.001953125,0.001953125,27.99005097950832,1.0638878245160498e-13,0.015625,0.015625
4,normalized_dirichlet_energy,1.0737083108162255,1.9733383451508317,10,0.8996300343346061,0.0603119699536006,0.8876942330339792,0.8046758527598212,1.0058619448559827,10,0,0,0.8564854501145367,0.9427746185546755,4.332659882041587e-12,0.001953125,0.001953125,14.916276736221887,2.5995959292249522e-11,0.015625,0.015625
4,effective_rank,3.658465361595154,4.624590063095093,10,0.966124701499939,0.24994391657901163,0.9417195320129395,0.5273318290710449,1.4280695915222168,10,0,0,0.7873255946653694,1.1449238083345086,6.57948293698509e-07,0.001953125,0.001953125,3.8653659377804064,1.9738448810955272e-06,0.015625,0.015625
4,effective_rank_ratio,0.028581760637462084,0.036129609867930346,10,0.0075478492304682605,0.0019526868482735251,0.007357183843851051,0.004119779914617504,0.011156793683767298,10,0,0,0.006150981208323188,0.008944717252613333,6.57948293698509e-07,0.001953125,0.001953125,3.8653659377804064,1.9738448810955272e-06,0.015625,0.015625
4,mean_embedding_norm,12.393102264404297,0.9999972641468048,10,-11.393105000257492,0.8909972529628337,-11.528483808040619,-13.0282581448555,-9.954577326774597,0,10,0,-12.030486038381095,-10.755723962133889,1.7227656067949297e-11,0.001953125,0.001953125,-12.78691372209285,8.613828033974649e-11,0.015625,0.015625
4,mean_feature_variance,1.3116459906101228,0.0147704036906361,10,-1.2968755869194866,0.22456300261237996,-1.3413274949416518,-1.7381497174501417,-0.9557074196636677,0,10,0,-1.4575182816677301,-1.136232892171243,2.0207535379145786e-08,0.001953125,0.001953125,-5.775107973409289,8.083014151658315e-08,0.015625,0.015625
4,gradient_norm,0.4959933456214454,0.5458059661975656,10,0.049812620576120285,0.04225772710074384,0.047536063495557335,-0.030474515074993158,0.10798815308191406,9,1,0,0.01958326366323255,0.08004197748900801,0.004714669865565728,0.005859375,0.005859375,1.178781349440904,0.004714669865565728,0.015625,0.015625
8,mean_pairwise_cosine_distance,0.6061629116535187,0.7727123737335205,10,0.16654946208000182,0.06253876626271324,0.16694912314414978,0.0748145580291748,0.25693345069885254,10,0,0,0.1218119237419793,0.21128700041802434,1.4651778429442388e-05,0.001953125,0.001953125,2.663139553798676,2.1532386228345215e-05,0.015625,0.015625
8,mean_edge_cosine_distance,0.5696284592151641,0.7287507712841034,10,0.1591223120689392,0.05752157547492188,0.14324826002120972,0.07459378242492676,0.2432679533958435,10,0,0,0.11797385580962431,0.20027076832825408,1.0766193114172607e-05,0.001953125,0.001953125,2.7663065685381474,2.1532386228345215e-05,0.015625,0.015625
8,normalized_dirichlet_energy,1.2471579267713886,1.8381740023478272,10,0.5910160755764382,0.1468472545286884,0.5630663561478855,0.3859421254108639,0.8185621000523218,10,0,0,0.4859678779239134,0.696064273228963,4.6576163162170365e-07,0.001953125,0.001953125,4.024699525185716,1.8630465264868146e-06,0.015625,0.015625
8,effective_rank,1.812577748298645,4.171879315376282,10,2.3593015670776367,0.33687352402924714,2.3475558757781982,1.7376486063003536,2.9284087419509888,10,0,0,2.118316765218686,2.6002863689365876,3.6873410578261834e-09,0.001953125,0.001953125,7.0035232773971385,2.9498728462608415e-08,0.015625,0.015625
8,effective_rank_ratio,0.014160763658583101,0.032592807151377155,10,0.01843204349279405,0.0026318244064784855,0.0183402802795172,0.0135753797367215,0.022878193296492096,10,0,0,0.016549349728271004,0.020314737257317098,3.687341057826052e-09,0.001953125,0.001953125,7.003523277397165,2.9498728462608415e-08,0.015625,0.015625
8,mean_embedding_norm,75.47777061462402,0.9999971985816956,10,-74.47777341604233,10.774166353040215,-73.07894012331963,-89.77279180288315,-58.723761439323425,0,10,0,-82.18514772295686,-66.7703991091278,4.1393102453442755e-09,0.001953125,0.001953125,-6.912625160556061,2.9498728462608415e-08,0.015625,0.015625
8,mean_feature_variance,132.60397033691407,0.01427709637209768,10,-132.58969324054198,41.453973355655464,-124.85260746628046,-198.78750637732446,-80.35010422952473,0,10,0,-162.24407936116674,-102.9353071199172,3.2545114135398536e-06,0.001953125,0.001953125,-3.198479723595738,9.763534240619562e-06,0.015625,0.015625
8,gradient_norm,2.342892730684867,0.4907579661502889,10,-1.852134764534578,0.3227724604929241,-1.8583866112736214,-2.321827905796936,-1.3716318516530714,0,10,0,-2.08303227321104,-1.621237255858116,2.1377988137913674e-08,0.001953125,0.001953125,-5.738205675001139,1.0688994068956836e-07,0.015625,0.015625
