epoch,loss,train_acc,val_acc,test_acc
1,1.6083812713623047,0.21518640350877194,0.21916118421052633,0.2256578947368421
2,1.6057202816009521,0.23464912280701755,0.24177631578947367,0.23421052631578948
3,1.6056486368179321,0.23519736842105263,0.24465460526315788,0.24210526315789474
4,1.6045905351638794,0.23410087719298245,0.24588815789473684,0.24078947368421053
5,1.6025551557540894,0.23300438596491227,0.24547697368421054,0.24013157894736842
6,1.600745439529419,0.23382675438596492,0.2450657894736842,0.24013157894736842
7,1.599839687347412,0.23958333333333334,0.24753289473684212,0.24013157894736842
8,1.5985372066497803,0.24835526315789475,0.2524671052631579,0.2394736842105263
9,1.5969371795654297,0.2538377192982456,0.2504111842105263,0.24144736842105263
10,1.5958460569381714,0.26151315789473684,0.24917763157894737,0.25526315789473686
11,1.5947011709213257,0.26206140350877194,0.2504111842105263,0.26052631578947366
12,1.59420907497406,0.25603070175438597,0.25,0.25394736842105264
13,1.5919357538223267,0.2579495614035088,0.25082236842105265,0.24802631578947368
14,1.5908401012420654,0.2604166666666667,0.2532894736842105,0.24802631578947368
15,1.5889836549758911,0.25959429824561403,0.25411184210526316,0.25
16,1.5882524251937866,0.26096491228070173,0.2524671052631579,0.24671052631578946
17,1.5860936641693115,0.2612390350877193,0.25287828947368424,0.24802631578947368
18,1.5850104093551636,0.26151315789473684,0.2520559210526316,0.24802631578947368
19,1.583388090133667,0.26288377192982454,0.2524671052631579,0.2506578947368421
20,1.5834060907363892,0.26206140350877194,0.2520559210526316,0.24671052631578946
21,1.5818219184875488,0.26069078947368424,0.25082236842105265,0.24671052631578946
22,1.5810832977294922,0.2604166666666667,0.24958881578947367,0.24605263157894736
23,1.5786962509155273,0.2604166666666667,0.2512335526315789,0.24671052631578946
24,1.577793002128601,0.26014254385964913,0.25164473684210525,0.24736842105263157
25,1.5764576196670532,0.2598684210526316,0.2524671052631579,0.24802631578947368
26,1.5749813318252563,0.26014254385964913,0.2524671052631579,0.24868421052631579
27,1.573601245880127,0.26014254385964913,0.25287828947368424,0.24868421052631579
28,1.5725677013397217,0.26069078947368424,0.2532894736842105,0.24868421052631579
29,1.5723949670791626,0.2612390350877193,0.25411184210526316,0.2493421052631579
30,1.5728815793991089,0.26206140350877194,0.25493421052631576,0.2506578947368421
31,1.5713040828704834,0.2631578947368421,0.2557565789473684,0.2532894736842105
32,1.5711148977279663,0.2642543859649123,0.2578125,0.25394736842105264
33,1.5714339017868042,0.2661732456140351,0.2578125,0.25526315789473686
34,1.5707310438156128,0.26864035087719296,0.25945723684210525,0.25723684210526315
35,1.5687106847763062,0.2700109649122807,0.2611019736842105,0.25921052631578945
36,1.5672510862350464,0.2708333333333333,0.2623355263157895,0.26052631578947366
37,1.568665623664856,0.27165570175438597,0.26274671052631576,0.26052631578947366
38,1.5671156644821167,0.2727521929824561,0.2635690789473684,0.2638157894736842
39,1.5676300525665283,0.2746710526315789,0.2652138157894737,0.2638157894736842
40,1.5679473876953125,0.2774122807017544,0.26644736842105265,0.2644736842105263
41,1.5656183958053589,0.2787828947368421,0.2680921052631579,0.2644736842105263
42,1.5644962787628174,0.28125,0.26932565789473684,0.2657894736842105
43,1.5630841255187988,0.28097587719298245,0.26932565789473684,0.26644736842105265
44,1.5598735809326172,0.28207236842105265,0.2709703947368421,0.26776315789473687
45,1.5630316734313965,0.28344298245614036,0.27179276315789475,0.26907894736842103
46,1.5619715452194214,0.2831688596491228,0.2746710526315789,0.26842105263157895
47,1.557340383529663,0.2850877192982456,0.27713815789473684,0.27039473684210524
48,1.5574712753295898,0.2845394736842105,0.27631578947368424,0.26973684210526316
49,1.5574995279312134,0.28426535087719296,0.2767269736842105,0.26907894736842103
50,1.5550403594970703,0.28207236842105265,0.2779605263157895,0.26776315789473687
51,1.553834319114685,0.28042763157894735,0.27713815789473684,0.26776315789473687
52,1.5518566370010376,0.27960526315789475,0.2746710526315789,0.26842105263157895
53,1.5508671998977661,0.2787828947368421,0.27261513157894735,0.26644736842105265
54,1.547114610671997,0.2738486842105263,0.27261513157894735,0.2638157894736842
