epoch,num_layers,metric,baseline_mean,pairnorm_mean,pairnorm_to_baseline_ratio,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,zero_pairs,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue
400,4,mean_pairwise_cosine_distance,0.4707827568054199,0.8678040385246277,1.8433216297327164,10,0.39702128171920775,0.3880985542207182,0.4059440092176973,10,0,0,4.783468455967873e-15,0.001953125,0.001953125,31.830168045617764,1.9133873823871492e-14,0.0078125,0.0078125
400,4,mean_edge_cosine_distance,0.43183443546295164,0.8574814558029175,1.9856717885030346,10,0.4256470203399658,0.4155413529146235,0.4357526877653081,10,0,0,7.83509139443283e-15,0.001953125,0.001953125,30.130571559279314,2.350527418329849e-14,0.0078125,0.0078125
400,4,normalized_dirichlet_energy,1.1479527344568456,1.9176632829477813,1.6705071780286533,10,0.7697105484909359,0.731317247021222,0.8081038499606498,10,0,0,6.1625512896590046e-12,0.001953125,0.001953125,14.34150581995175,1.2325102579318009e-11,0.0078125,0.0078125
400,4,effective_rank_ratio,0.029401203803718034,0.05931110084056849,2.017301782489195,10,0.029909897036850448,0.027317106578262897,0.032502687495438,10,0,0,8.598240880164617e-10,0.001953125,0.001953125,8.252210020229315,8.598240880164617e-10,0.0078125,0.0078125
400,8,mean_pairwise_cosine_distance,0.6071165859699249,0.5800005435943604,0.95533635054255,10,-0.027116042375564576,-0.05624368584641408,0.002011601095284924,3,7,0,0.06449463854824902,0.083984375,0.068359375,-0.665953227415924,0.12898927709649805,0.16796875,0.13671875
400,8,mean_edge_cosine_distance,0.5467015981674195,0.5450472950935363,0.9969740291972284,10,-0.0016543030738830566,-0.028053675951474965,0.024745069803708854,3,7,0,0.8903944931473442,0.431640625,0.890625,-0.04482747124286735,0.8903944931473442,0.431640625,0.890625
400,8,normalized_dirichlet_energy,1.2572061707917583,1.8633936062796468,1.4821702673525108,10,0.6061874354878886,0.531717462788595,0.6806574081871821,10,0,0,1.8792445319525163e-08,0.001953125,0.001953125,5.823023059920311,7.516978127810065e-08,0.0078125,0.0078125
400,8,effective_rank_ratio,0.01520138392224902,0.02046559490263457,1.346298140176616,10,0.00526421098038555,0.004089769473207146,0.006438652487563953,10,0,0,3.187650009846738e-06,0.001953125,0.001953125,3.2064514549096317,9.562950029540214e-06,0.0078125,0.0078125
600,4,mean_pairwise_cosine_distance,0.45871652364730836,0.8835468411445617,1.9261282199284608,10,0.4248303174972534,0.4113501584430259,0.4383104765514809,10,0,0,1.0625227240909539e-13,0.001953125,0.001953125,22.54463766134657,3.1875681722728613e-13,0.0078125,0.0078125
600,4,mean_edge_cosine_distance,0.42770135402679443,0.8896425485610961,2.0800554877489636,10,0.46194119453430177,0.4483365445498434,0.47554584451876014,10,0,0,5.437056068972997e-14,0.001953125,0.001953125,24.289696835134897,2.1748224275891987e-13,0.0078125,0.0078125
