num_layers,metric,n,spearman_rho,spearman_pvalue,spearman_holm_pvalue
4,mean_pairwise_cosine_distance,10,0.01818181818181818,0.9602404181286243,1.0
4,mean_edge_cosine_distance,10,-0.22424242424242422,0.5334005612725947,1.0
4,normalized_dirichlet_energy,10,-0.4545454545454545,0.186904810349332,0.6957543886602653
4,effective_rank_ratio,10,-0.4666666666666666,0.17393859716506632,0.6957543886602653
8,mean_pairwise_cosine_distance,10,0.4012176588288426,0.25049600352532764,0.6647677123262199
8,mean_edge_cosine_distance,10,0.47416632407045034,0.16619192808155497,0.6647677123262199
8,normalized_dirichlet_energy,10,0.43161293601284584,0.21294529187580233,0.6647677123262199
8,effective_rank_ratio,10,0.38905954795524134,0.2664779212005221,0.6647677123262199
