distance,width,graph_seed,acc_base,spec_base,acc_pn,spec_pn,acc_rew,spec_rew,acc_pn_rew,spec_pn_rew,pairnorm_gain_pp,rewiring_gain_pp,rewiring_after_pairnorm_pp,pairnorm_after_rewiring_pp
2,1,1,0.7804904513888888,0.8240507288219794,0.9646267361111112,0.902273184299754,1.0,0.9918091481870022,1.0,0.9771930667400108,18.413628472222232,21.950954861111114,3.537326388888884,0.0
2,1,2,0.7488064236111112,0.8110105565590283,0.9676649305555556,0.9085805790645768,1.0,0.9873446238742534,1.0,0.9766953613411206,21.885850694444443,25.119357638888886,3.233506944444442,0.0
2,1,3,0.7610677083333334,0.8016931807318076,0.9636501736111112,0.9129486103605146,1.0,0.9889172949928936,1.0,0.9721811482924148,20.25824652777778,23.893229166666664,3.634982638888884,0.0
2,1,4,0.7646484375,0.8271810350024423,0.959201388888889,0.898459044393598,1.0,0.9855815311580786,1.0,0.9756267656537538,19.455295138888896,23.53515625,4.079861111111105,0.0
2,1,5,0.7745225694444443,0.8202796406811371,0.965060763888889,0.899333343418487,1.0,0.98787290730758,1.0,0.973212429211038,19.053819444444464,22.547743055555568,3.493923611111105,0.0
2,2,1,0.9326171875,0.8641477689084409,0.9756944444444444,0.8987877678955064,1.0,0.9818229355090512,1.0,0.9749991700466676,4.307725694444442,6.73828125,2.430555555555558,0.0
2,2,2,0.9053819444444444,0.8480607425130947,0.966796875,0.9014430923757978,1.0,0.972354585411326,1.0,0.9728682910982503,6.141493055555558,9.461805555555557,3.3203125,0.0
2,2,3,0.9254557291666666,0.8439726729785842,0.9760199652777778,0.9019912409492064,1.0,0.9776867014545464,1.0,0.9727747637489208,5.056423611111116,7.4544270833333375,2.398003472222221,0.0
2,2,4,0.9275173611111112,0.8628823953540907,0.9760199652777776,0.9006757133525074,1.0,0.9774083505936844,1.0,0.9761591928300866,4.850260416666641,7.248263888888884,2.398003472222243,0.0
2,2,5,0.9448784722222224,0.8731090915603489,0.9828559027777778,0.9086185649897076,1.0,0.9806759766043376,1.0,0.9741505624348744,3.797743055555536,5.512152777777757,1.714409722222221,0.0
2,4,1,0.9964192708333334,0.8440975633639581,0.9947916666666666,0.8785329932818419,1.0,0.9619580529036554,1.0,0.9564655286274096,-0.16276041666667407,0.35807291666666297,0.520833333333337,0.0
2,4,2,0.9942491319444444,0.8351332766257397,0.9868706597222222,0.8811508147440882,1.0,0.961972873293648,1.0,0.9600028494183912,-0.737847222222221,0.575086805555558,1.312934027777779,0.0
2,4,3,0.9968532986111112,0.8358549849680269,0.986545138888889,0.8771428392858144,0.9998914930555556,0.9546091490181476,1.0,0.9574094382991692,-1.030815972222221,0.303819444444442,1.345486111111105,0.010850694444441977
2,4,4,0.995876736111111,0.8339563536372984,0.9921875,0.8818327493805591,1.0,0.963271180692846,1.0,0.9596267306062662,-0.36892361111110494,0.41232638888889506,0.78125,0.0
2,4,5,0.8778211805555557,0.741244867541512,0.9914279513888888,0.8814136911751204,1.0,0.9601526118620548,1.0,0.9606035195958864,11.360677083333314,12.21788194444443,0.857204861111116,0.0
2,8,1,0.8987630208333334,0.6695091390849882,0.999782986111111,0.7994879690929869,1.0,0.925589750380138,1.0,0.9131244761137772,10.101996527777768,10.123697916666663,0.021701388888895057,0.0
2,8,2,0.7970920138888888,0.5805416342511351,0.9998914930555556,0.7911348391137641,1.0,0.9241996877171802,0.9998914930555556,0.915987487502473,20.279947916666675,20.290798611111114,0.0,-0.010850694444441977
2,8,3,0.8980034722222223,0.6896385300459423,0.9997829861111112,0.8059948853245066,1.0,0.923546517662532,1.0,0.9117582569674996,10.177951388888884,10.199652777777768,0.021701388888883955,0.0
2,8,4,1.0,0.7204712958918407,0.9996744791666666,0.7950716691252301,1.0,0.9238207149844886,0.9998914930555556,0.9261805867865854,-0.032552083333337034,0.0,0.021701388888895057,-0.010850694444441977
2,8,5,0.8971354166666666,0.6517047130067963,0.9975043402777778,0.7698706886020883,1.0,0.9229004302522054,1.0,0.9281882091252992,10.036892361111116,10.286458333333337,0.249565972222221,0.0
4,1,1,0.615234375,0.6493472488382568,0.9806857638888888,0.9310465598579946,1.0,0.9979905804751312,1.0,0.9691129896691294,36.545138888888886,38.4765625,1.931423611111116,0.0
4,1,2,0.576388888888889,0.5845728538268495,0.9754774305555556,0.9310135782755669,1.0,0.9981413830067236,1.0,0.967072655429824,39.908854166666664,42.36111111111111,2.452256944444442,0.0
4,1,3,0.603298611111111,0.5642650661577248,0.9851345486111112,0.9375674288685076,1.0,0.9943531097508714,1.0,0.9678937453485422,38.183593750000014,39.67013888888889,1.486545138888884,0.0
