distance,width,pairnorm_gain_mean,pairnorm_gain_sd,rewiring_gain_mean,rewiring_gain_sd,rewiring_after_pairnorm_mean,rewiring_after_pairnorm_sd,pairnorm_after_rewiring_mean,pairnorm_after_rewiring_sd
2,1,19.813368055555564,1.3376754418564811,23.409288194444446,1.2291638696977512,3.5959201388888844,0.3085873402405102,0.0,0.0
2,2,4.830729166666659,0.8817616404249764,7.282986111111107,1.4326902920139744,2.4522569444444486,0.5710290709867482,0.0,0.0
2,4,1.8120659722222185,5.348286268267264,2.773437499999998,5.280580501462906,0.9635416666666675,0.35654067685167884,0.0021701388888883955,0.0048525780761703155
2,8,10.112847222222221,7.181733583041663,10.180121527777777,7.174181800275199,0.06293402777777901,0.10475276376863735,-0.004340277777776791,0.005943170111816858
4,1,38.005642361111114,1.228804617014403,39.85026041666667,1.4774406921859775,1.8446180555555558,0.3748596933620812,0.0,0.0
4,2,33.053385416666664,4.375860543364303,34.609375,4.418422230109575,1.5733506944444442,0.3231612979999011,0.017361111111109384,0.028295149328134744
4,4,29.37065972222222,7.203996598798686,30.54253472222222,7.066949083774816,1.171875,0.18918832220228396,0.0,0.0
4,8,17.32855902777778,8.211262572753766,17.645399305555554,8.190216726753679,0.3168402777777768,0.11416456977050721,0.0,0.0
6,1,40.06944444444444,1.4071095878382387,42.45442708333333,0.9488806661010846,2.3849826388888906,0.6472054948223245,0.0,0.0
6,2,38.19227430555556,0.36170428211807387,39.995659722222214,0.5404691582210202,1.8033854166666674,0.2765756662856991,0.0,0.0
6,4,30.008680555555554,4.640461577058279,31.432291666666664,4.717509592213704,1.4236111111111116,0.12640011170506674,0.0,0.0
6,8,16.42361111111111,5.099547033572221,16.651475694444446,5.11987576897632,0.2278645833333326,0.07073787332033964,0.0,0.0
8,1,40.679253472222214,0.9279088580641677,43.125,0.4354225635551789,2.4262152777777724,0.5778236762180384,-0.01953125000000444,0.022237306349746928
8,2,37.24609375,1.0273722630472621,39.884982638888886,1.1930189275836591,2.6302083333333326,0.3655250940124571,-0.008680555555555802,0.019410312304686227
8,4,32.45225694444444,2.2564409786673116,34.56163194444444,2.4197948764086328,2.0985243055555625,0.23229104222376842,-0.010850694444444198,0.015345199244500165
8,8,29.537760416666668,0.7435457666511137,29.958767361111114,0.7074203424933638,0.4166666666666674,0.12737439748983773,-0.004340277777776791,0.009705156152340631
10,1,40.384114583333336,0.4038441306524861,42.970920138888886,0.38496269853939863,2.5455729166666674,0.49709919710472583,-0.041232638888883955,0.04692219685425065
10,2,37.24826388888889,0.6740281604474289,40.00434027777778,0.7206282673304499,2.7365451388888884,0.4298299602505317,-0.01953125,0.01414757466407014
10,4,32.19184027777777,1.3194729985945373,34.60720486111111,1.5232110406133783,2.3980034722222276,0.4101074476771748,-0.017361111111109384,0.01645589289073752
10,8,25.690104166666675,4.377159917598099,26.677517361111107,4.4501778920388295,0.9809027777777747,0.2682777972479158,-0.006510416666665186,0.009705156152340631
